YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0827087	0.9453303	0.9189969	0.0744175	0.2498655	0.3503593	0.5896743	0.0128608	0.8404271	0.8966823
0.2980912	0.8173644	0.8912891	0.0818143	0.0385559	0.1446871	0.6599021	0.0087593	0.7855164	0.9771779
0.0624110	0.9752583	1.0155262	0.0088890	0.3095957	0.4107637	0.5796644	0.0682164	0.8564520	0.7797123
0.0231151	0.8726867	0.8010526	0.0035791	0.1381913	0.3391353	0.3133227	0.0690532	0.9753813	1.0340076
0.4065605	0.4738198	0.5338718	0.2855055	0.2488889	0.4850822	0.5645232	0.1060743	0.7964753	1.0296942
0.0069143	0.8752569	0.9610006	0.0252814	0.3390526	0.4927780	0.5440576	0.0394662	0.8868891	1.0653584
0.0254165	0.9119157	0.9292478	0.0896646	0.3882241	0.5539166	0.3133349	0.0147942	0.8906867	0.6732798
0.6862330	0.0203872	0.1820378	0.5498922	0.1924763	0.3660367	0.8578294	0.0638381	0.9733951	0.9656477
0.0164314	0.9228211	0.7958445	0.0065539	0.2531034	0.4668795	0.6382653	0.0678746	0.8092999	0.7371367
0.0409458	0.8167018	0.8476408	0.1359991	0.1973791	0.4826086	0.5860456	0.0652932	1.0134627	1.0088383
