YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.1328730	0.1496354	0.3544369	0.9190837	0.0397530	0.4385130	0.9989272	0.0893223	0.6939816
1.0505118	0.0000000	0.1018641	0.2458223	1.0045283	0.0267254	0.4525621	0.9735189	0.0938923	0.6844061
0.8939413	0.1646037	0.0018262	0.2415363	1.0690527	0.0421281	0.4859609	0.9666536	0.1107646	0.6681527
0.8007068	0.6843110	1.0254913	0.0000000	0.9727050	0.0238257	0.6012483	0.9797292	0.1378327	0.8676999
0.8095302	0.1495765	0.1065289	1.0489736	0.0000000	0.0585690	0.5088815	1.1471858	0.0817327	0.7050505
0.9648029	0.1188062	0.2158975	0.2422946	1.0578601	0.0000000	0.3593617	0.9552268	0.1013477	0.6777870
0.9412427	0.1661838	0.1887600	0.2733599	1.0671436	0.0850509	0.0000000	0.9412482	0.0723807	0.5065576
0.9602460	0.1482348	0.2498494	0.3031886	0.9587246	0.0362568	0.4078103	0.0000000	0.0727024	0.6592761
0.8748943	0.1043287	0.1939318	0.2389256	1.0296754	0.0400736	0.3811473	0.9125868	0.0000000	0.6832083
0.9882029	0.0904583	0.0524136	0.7744388	0.2283589	1.0361276	0.3617848	1.0061238	0.0626330	0.0000000
