YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.4943282	0.6672031	0.4036850	0.6826412	0.4680384	0.6071488	0.8278075	0.0468941	0.4631438	0.5539357
0.8442806	0.2705934	0.2638884	0.8457280	0.3967603	0.6730904	0.7230101	0.0065749	0.2463107	0.5135819
0.9757752	0.5193510	0.1629820	0.7632583	0.4895559	0.6380849	0.7779803	0.0244296	0.3943532	0.5342758
0.9131571	0.3356166	0.6984343	0.4564971	0.5833649	0.5347495	0.9560748	0.0090006	0.2892946	0.6049275
0.9499636	0.4065841	0.4005555	0.6850617	0.2382979	0.6024224	0.8355806	0.0133607	0.3327789	0.5570979
0.9733943	0.5034387	0.1904861	0.9789613	0.8785906	0.3680932	0.6304862	0.0225037	0.3861230	0.7467186
0.9496597	0.4057949	0.4028107	0.6829091	0.1935429	0.8773504	0.4185253	0.0132850	0.3322729	0.4181006
0.9581794	0.4325409	0.3326665	0.7559715	0.4390183	0.6317675	0.7872543	0.0077043	0.3475190	0.5383058
0.9699158	0.4832766	0.2267862	0.9062135	0.3760651	0.7015269	0.6809130	0.0050485	0.1877284	0.4976762
0.9580679	0.4321422	0.3335144	0.7552228	0.4381781	0.6321826	0.7865333	0.0153792	0.3473093	0.2690316
