YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.4032847	0.2740170	0.2747967	1.0777256	1.0298187	0.5263322	0.9337738	0.9890880	1.0301945	1.0110944
0.7387684	0.2564722	0.2530305	1.0741118	1.1042007	0.4684901	1.0148658	1.0551424	0.9613015	1.1307317
0.7852820	0.3520670	0.1559512	1.0323025	0.9953883	0.5275656	0.9410159	1.0086749	1.0222227	1.0399812
0.9228199	0.6037992	0.4485824	0.4912387	1.0616952	0.5313237	0.9897253	0.8614469	1.0232641	1.0891004
0.9648088	0.5192146	0.2530412	1.0722564	0.5166549	0.5481491	1.0105658	1.1282495	1.0196715	0.9041306
0.7758572	0.6204764	0.2643322	0.9793432	1.0234366	0.2418423	1.0085773	0.9925170	0.9714466	1.0267605
0.9509238	0.6555403	0.2804146	0.9966975	1.0120434	0.4517159	0.4919400	0.9044112	0.9750690	1.0243714
0.8057663	0.5138565	0.2972831	0.9545098	0.9803204	0.6849096	1.0640714	0.4974035	0.9204638	1.0762732
0.9071545	0.5456857	0.2919696	1.0337916	1.0488512	0.5722148	1.0306486	1.0477600	0.4691122	1.0858476
0.8085974	0.6459728	0.2568850	0.9259118	0.9785843	0.5632202	0.9865605	1.0642415	1.0773929	0.5503451
