YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000000	0.1133871	0.0214733	0.0424086	0.6433678	0.3909603	0.2900570	0.2806957	0.8103690	0.6477352
0.2138720	0.0000000	0.0180061	0.0497995	0.7019126	0.4788253	0.3094251	0.4024638	0.6589993	0.6236466
0.2106731	0.1668096	0.0000000	0.0665764	0.7201472	0.3485019	0.3325723	0.3931816	0.6226733	0.6451625
0.1949499	0.1735272	0.0120528	0.0000000	0.6465667	0.4402152	0.3666557	0.3982640	0.7611199	0.6696063
0.2603696	0.2128939	0.4640783	0.5993701	0.0000000	0.2483716	0.2088865	0.4073669	0.8082969	0.6265718
0.2378436	0.3080471	0.5238684	0.7177510	0.0165809	0.0000000	0.2279632	0.3442794	0.5147212	0.6288020
0.4008620	0.2646400	0.4210905	0.6919723	0.0274957	0.0098702	0.0000000	0.3829494	0.6313048	0.6348801
0.3181016	0.3878056	0.5100902	0.7275362	0.0528078	0.0457175	0.0551467	0.0000000	0.7978288	0.5558755
0.3866430	0.3255054	0.3726450	0.6685412	0.0330461	0.0523164	0.0485962	0.0229433	0.0000000	0.6874525
0.3687244	0.3687234	0.4248119	0.6981041	0.0194445	0.0665369	0.0421260	0.0088108	0.0286995	0.0000000
