YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.6114058	0.0559909	0.1328542	0.5953286	0.1359927	0.4934963	0.3852385	0.5421091	0.7692073
0.1752028	0.0000000	0.0223143	0.0969023	0.5809604	0.1570404	0.6032794	0.4026400	0.5303131	0.7326554
0.2054424	0.7218297	0.0000000	0.1696984	0.6195756	0.1617879	0.5462135	0.5434446	0.5206458	0.6812497
0.2032345	0.7203241	0.0559167	0.0000000	0.8794189	0.1241456	0.5421050	0.4780471	0.7089169	0.6790633
0.2185664	0.6529515	0.0586943	0.1988722	0.0000000	0.1168694	0.4359648	0.5926777	0.5798752	0.8572103
0.1175901	0.7551010	0.1005925	0.1955157	0.0218644	0.0000000	0.4784694	0.5350434	0.5347209	0.6482773
0.6249155	0.6079421	0.7437800	0.7354395	0.7300039	0.7490156	0.0000000	0.4749167	0.2716621	0.7439131
0.1481446	0.0098005	0.0249165	0.1158609	0.6728115	0.1358602	0.7195673	0.0000000	0.5644412	0.7878743
0.7227660	0.0112693	0.0119887	0.0666485	0.5224336	0.1656493	0.7269617	0.0202974	0.0000000	0.6819726
0.7129333	0.6772033	0.0458009	0.2242819	0.5865647	0.1649077	0.4065580	0.4955992	0.4461687	0.0000000
