YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.7276782	0.6825440	0.6339547	0.1643218	0.4256180	0.4420311	0.5528387	0.0729448	0.6282581	0.0279404
0.7853228	0.6220001	0.6865648	0.1882690	0.3720823	0.6317141	0.2864104	0.0791711	0.5634127	0.0144776
0.7143628	0.5704621	0.6984129	0.1354785	0.4397669	0.4973278	0.4797587	0.1027726	0.7826939	0.0072322
0.6764788	0.4722069	0.4075730	0.4164064	0.2052492	0.5708663	0.3269142	0.1978724	0.4504953	0.0754325
0.6636443	0.5174249	0.3502195	0.1562700	0.2177281	0.4543827	0.5215551	0.0412133	0.5475681	0.0454022
0.6058670	0.6055361	0.7006267	0.1679604	0.3407890	0.6378138	0.3714908	0.2675559	0.8949310	0.0428155
0.4469067	0.5831841	0.6101772	0.1950383	0.4727803	0.5167481	0.3843110	0.1856281	0.7857989	0.0417035
0.5233008	0.5778298	0.7747705	0.0172571	0.5695668	0.6503940	0.4760650	0.0926277	0.3850561	0.0198571
0.7076103	0.6359037	0.7258455	0.1207883	0.2498684	0.5743267	0.3451791	0.1557575	0.7243487	0.0226631
0.6586815	0.8396282	0.6740116	0.2538104	0.3355231	0.5507179	0.3938286	0.0910400	0.6758088	0.0162500
