YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.8481477	0.4274188	0.2366741	0.9458424	0.9824774	0.6698380	0.8315750	0.7169301	0.4858958	0.8612633
0.8825292	0.7949035	0.4633537	0.6153544	0.8159397	0.6358825	1.0850486	0.9682843	1.0094512	1.0274322
0.7960247	0.5135562	0.2874653	1.0064373	0.7577819	0.6039265	0.9530349	0.9861065	1.0939972	0.8265102
0.8162061	0.5147960	0.1337367	1.0250806	1.0369364	0.6617832	0.9196812	0.3804709	1.0064001	1.1091380
0.9119389	0.5390605	0.3047571	0.6160384	1.0497673	0.7179701	0.7956940	1.0256521	0.9802524	0.7094994
0.8424403	0.5315160	0.2790216	1.0600857	0.8737197	0.8952094	0.9567069	0.9087186	1.0374030	0.7034910
0.8846466	0.5135624	0.2980209	0.8305620	0.9895065	0.6356670	0.9383590	1.0047495	0.9082541	0.5895652
0.8781246	0.5944008	0.3344709	0.8518192	0.7929635	0.4860819	0.8769622	0.9944819	0.8339485	0.6690607
0.9576622	0.7197094	0.3088126	1.0030777	0.9987401	0.5096505	1.0478319	0.9047743	0.9187119	0.9710996
0.8092678	0.6343014	0.2423039	1.0758032	1.0356426	0.4330048	0.8500624	0.9596555	0.9843317	1.0418151
