"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.2278539	0.5526383	0.5094474	0.1783646	0.3038966	0.4604353	0.3668252	0.6478305	0.2948643	0.7424887
50	0.2343473	0.7256250	0.5063594	0.2477691	0.3617590	0.5109087	0.3098540	0.6254704	0.5904977	0.7323684
100	0.0843478	0.8345511	0.5798601	0.1376682	0.3536039	0.4653503	0.3180337	0.7627871	0.7018287	0.6043395
150	0.0852094	0.6660028	0.3707008	0.1343913	0.3328140	0.4281884	0.3587889	0.6336393	0.7739795	0.7852791
200	0.0822269	0.7992678	0.4364420	0.1761226	0.3085032	0.4392760	0.3691671	0.7766797	0.7200716	0.7131033
250	0.0752437	0.7715122	0.5320826	0.2846783	0.2834141	0.3989125	0.2960765	0.7437881	0.6873471	0.8489899
300	0.0720356	0.8575946	0.5862217	0.1558498	0.2746753	0.5410121	0.4666521	0.7061583	0.7056461	0.7852506
350	0.0864553	0.7194275	0.6517007	0.2259283	0.2489348	0.4749627	0.3606839	0.6890804	0.6959636	0.7258614
400	0.0784150	0.7828160	0.5514691	0.2478687	0.3128850	0.4469465	0.3766851	0.6763472	0.9346299	0.7976182
450	0.0929531	0.6053805	0.5936296	0.1847619	0.3498505	0.5185367	0.3514500	0.7956676	0.7111833	0.6926965
500	0.0443242	0.7116919	0.7137964	0.2048525	0.3014591	0.4854657	0.3952611	0.8196575	0.6729861	0.7511991
550	0.0898221	0.7440992	0.5560096	0.1272053	0.3154206	0.5129598	0.4414060	0.6283432	0.4408020	0.7231664
600	0.1257059	0.6939592	0.5982461	0.2527574	0.2846905	0.5199856	0.4134133	0.6618020	0.4045185	0.7172392
650	0.0950353	0.8375739	0.7149797	0.1496281	0.3177571	0.5172735	0.3817630	0.6862893	0.3793636	0.7455439
700	0.1972019	0.6974602	0.7001389	0.1104596	0.3262428	0.4597483	0.3196757	0.7400577	0.3730037	0.6809478
750	0.1920852	0.7150729	0.6019902	0.1627820	0.2563255	0.4696443	0.4189248	0.6067398	0.3384350	0.6796607
800	0.2361213	0.7961439	0.5229932	0.1893509	0.2687118	0.4377807	0.4019289	0.7130886	0.3332787	0.8211872
850	0.1764985	0.6952663	0.5603611	0.2177604	0.2411788	0.3878177	0.3289543	0.7767853	0.2910246	1.0000000
900	0.2235923	0.7471923	0.5181900	0.1864321	0.2780078	0.5196081	0.3921120	0.6885637	0.3067755	0.7825871
950	0.2011863	0.8599042	0.4935357	0.2461314	0.2554581	0.5395528	0.3623737	0.6381772	0.3079575	0.6968987
1000	0.2198149	0.7033093	0.5209087	0.2462908	0.2757207	0.5175193	0.4424753	0.7194363	0.3093215	0.8048923

0	0.2501668	0.7845679	0.6606809	0.2664860	0.3176686	0.4532674	0.3969231	0.7476426	0.3882603	0.7410984
