"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.9581486	0.4321341	0.3339236	0.7542618	0.4373172	0.6324797	0.7867550	0.0154326	0.3475039	0.5377605
50	0.9606094	0.4315906	0.3386994	0.7072096	0.4005640	0.5322112	0.6065852	0.0700497	0.3473886	0.5624478
100	0.9621210	0.4268863	0.3675011	0.6488424	0.3928083	0.4557481	0.4075312	0.1383019	0.3469057	0.6342905
150	0.9614201	0.4146011	0.4128917	0.6179523	0.4201155	0.4508328	0.2971337	0.1811510	0.3445986	0.6699125
200	0.9585353	0.3987639	0.4510505	0.6142196	0.4411899	0.4704138	0.2443898	0.2033346	0.3392224	0.6653617
250	0.9542306	0.3863650	0.4690278	0.6234379	0.4438793	0.4889572	0.2192944	0.2136163	0.3317448	0.6496660
300	0.9501522	0.3806564	0.4700648	0.6329059	0.4347727	0.5010302	0.2063880	0.2178818	0.3247176	0.6367990
350	0.9476851	0.3804017	0.4639807	0.6376524	0.4224689	0.5078940	0.1992427	0.2193807	0.3201380	0.6288322
400	0.9470148	0.3825322	0.4582433	0.6378493	0.4117413	0.5115912	0.1953535	0.2197604	0.3183372	0.6243998
450	0.9474066	0.3845652	0.4558299	0.6352042	0.4039737	0.5135346	0.1935497	0.2197850	0.3183940	0.6220372
500	0.9480215	0.3854293	0.4567595	0.6313697	0.3988956	0.5145223	0.1930746	0.2197566	0.3191098	0.6208089
550	0.9448791	0.3856724	0.4537381	0.6752468	0.4390948	0.6564471	0.3730161	0.1649215	0.3196798	0.5829663
600	0.9428161	0.3895416	0.4242842	0.7299630	0.4173273	0.7727793	0.5739225	0.0964257	0.3202497	0.4961691
650	0.9437368	0.4001697	0.3840509	0.7487617	0.3537248	0.7789256	0.6854423	0.0534263	0.3223297	0.4609045
700	0.9471135	0.4134817	0.3583267	0.7390520	0.3121729	0.7392280	0.7405062	0.0311498	0.3270759	0.4667495
750	0.9511873	0.4225511	0.3526794	0.7221461	0.3066615	0.6976666	0.7714018	0.0208051	0.3333385	0.4867073
800	0.9541263	0.4246925	0.3595661	0.7085520	0.3259305	0.6664760	0.7921713	0.0165079	0.3385883	0.5066848
850	0.9552472	0.4219620	0.3699775	0.7022218	0.3552108	0.6450429	0.8068024	0.0149971	0.3411836	0.5223234
900	0.9549152	0.4178170	0.3774854	0.7046807	0.3847099	0.6306233	0.8158048	0.0145852	0.3412134	0.5335675
950	0.9539369	0.4149122	0.3785906	0.7149548	0.4099720	0.6213499	0.8189774	0.0144760	0.3398468	0.5412964
1000	0.9530960	0.4145702	0.3727589	0.7298812	0.4296486	0.6162989	0.8166261	0.0143765	0.3384158	0.5461497

0	0.9581486	0.4321341	0.3339236	0.7542618	0.4373172	0.6324797	0.7867550	0.0154326	0.3475039	0.5377605
50	0.9581000	0.4320339	0.3344746	0.7438459	0.4252876	0.5005933	0.6517657	0.1792061	0.4299832	0.5701571
100	0.9580453	0.4311941	0.3441173	0.7023453	0.4765807	0.3741301	0.4807345	0.3868773	0.5036332	0.6781636
150	0.9576796	0.4264344	0.3670411	0.6956265	0.5720821	0.3289258	0.3603580	0.5220148	0.5357505	0.7584710
200	0.9564095	0.4190429	0.3748573	0.7467935	0.6499240	0.3263680	0.2823079	0.5960265	0.5465091	0.7842677
250	0.9547042	0.4176123	0.3510290	0.8115786	0.6943223	0.3363357	0.2288101	0.6332090	0.5487586	0.7821732
300	0.9544141	0.4266908	0.3119121	0.8604071	0.7132236	0.3467265	0.1904972	0.6507932	0.5495135	0.7727300
350	0.9565530	0.4424645	0.2764071	0.8893149	0.7179494	0.3544662	0.1638538	0.6588287	0.5520804	0.7639543
400	0.9601935	0.4584171	0.2516660	0.9036010	0.7166256	0.3595363	0.1465742	0.6626843	0.5566967	0.7576631
450	0.9638261	0.4705384	0.2370517	0.9091497	0.7136372	0.3626309	0.1362264	0.6649600	0.5620166	0.7536266
500	0.9665953	0.4780849	0.2295636	0.9102082	0.7108155	0.3644309	0.1305251	0.6667051	0.5667023	0.7511968
550	0.9683686	0.4820402	0.2262768	0.9124079	0.7333690	0.5624543	0.2264494	0.5160965	0.4908802	0.6873057
600	0.9693601	0.4838848	0.2238924	0.9188775	0.6509976	0.7658111	0.3556232	0.3120938	0.4225056	0.5333912
650	0.9698764	0.4850865	0.2224918	0.8983721	0.5022774	0.8488948	0.4621690	0.1723982	0.3928064	0.4515553
700	0.9701508	0.4848445	0.2317934	0.8282092	0.3835724	0.8524709	0.5529614	0.0941691	0.3820448	0.4287582
750	0.9700324	0.4785929	0.2634374	0.7451895	0.3147427	0.8184315	0.6380016	0.0545814	0.3778833	0.4330191
800	0.9688409	0.4625939	0.3140111	0.6872229	0.2848429	0.7697014	0.7152485	0.0356708	0.3738674	0.4498862
850	0.9658295	0.4400993	0.3661792	0.6581413	0.2831505	0.7189843	0.7758581	0.0267435	0.3667627	0.4729892
900	0.9609704	0.4187521	0.4049582	0.6507002	0.3027970	0.6746032	0.8160908	0.0221626	0.3565311	0.4978618
950	0.9553030	0.4040031	0.4247292	0.6586260	0.3364486	0.6408595	0.8380097	0.0192957	0.3455120	0.5205116
1000	0.9504224	0.3971943	0.4265257	0.6775107	0.3754146	0.6184554	0.8455834	0.0171529	0.3363827	0.5381962

0	0.9581486	0.4321341	0.3339236	0.7542618	0.4373172	0.6324797	0.7867550	0.0154326	0.3475039	0.5377605
50	0.9580996	0.4319969	0.3356467	0.7260378	0.4375635	0.6322832	0.7878473	0.0207177	0.5836935	0.5378937
100	0.9579934	0.4297372	0.3606804	0.6282841	0.4375985	0.6312360	0.8006851	0.0828427	0.7946185	0.5381441
