YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0000000	1.0458770	0.2570891	0.3974470	0.0441312	0.3158277	0.2590803	0.7300401	0.9157403	0.9630569
1.0207143	0.0000000	0.2105938	0.4907222	0.4010291	0.4809411	0.2207149	0.5516480	0.9501041	1.0323303
1.0189936	0.0401900	0.0000000	0.3963224	0.3683942	0.3921567	0.2625337	0.5423318	0.8962029	1.0493792
0.2041266	1.0008711	0.9499282	0.0000000	0.0735411	0.3345109	0.2419335	0.5958780	1.0203969	0.9541534
0.2287259	1.0687110	0.2686717	0.3809008	0.0000000	0.3775080	0.2871717	0.6104057	0.9077035	1.0489026
0.1903308	0.9886756	0.9588290	0.0406592	0.0254038	0.0000000	0.2561733	0.6713089	0.9098837	1.0100808
0.2083401	0.9683854	0.1279498	0.6748121	0.4111496	1.0264143	0.0000000	0.8605370	0.9377966	1.0961283
0.2423664	0.9318648	0.4079417	0.3223753	0.0525340	0.2486781	1.0689606	0.0000000	0.9435895	0.9502785
0.2052647	1.0901155	0.2111373	0.4835237	0.0672916	0.3397789	0.2415243	1.0453145	0.0000000	1.0448165
0.2310503	1.0392034	0.2121985	0.4166234	0.0741789	0.4408263	0.2197784	1.0942862	0.0486733	0.0000000
