YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000000	0.7090351	0.3741349	0.7422296	0.4926236	1.0031345	0.0205946	0.3331881	0.8637536	1.0415903
0.0837946	0.0000000	0.3538387	0.7662357	0.5814536	1.0182361	0.0183549	0.3896362	0.9586755	1.0585784
0.9394699	0.8727668	0.0000000	0.6679904	0.5016041	0.9398967	0.2764597	0.5034499	0.9912626	0.9168865
1.0192074	0.6667444	0.0932037	0.0049231	0.5717001	0.8747039	0.2384914	0.5215911	1.0165468	1.0331493
0.9878645	0.6336810	0.4334824	1.0311423	0.0000000	0.9223357	0.2267348	0.4822664	1.0080325	1.0534609
0.7936454	0.5619440	0.3973306	1.0399740	0.0336638	0.0000000	0.2167553	0.5567569	0.9119730	1.0563833
0.9165503	0.7062088	0.3913687	0.8607439	0.4570237	1.0449936	0.0000000	0.3636814	0.9455501	0.9706553
1.0038432	0.7634856	0.3417398	0.8505548	0.3000301	0.4960407	1.0192672	0.0000000	0.9533872	0.9656616
0.8269515	0.7130644	0.3424719	0.7130451	0.4464710	0.6976358	0.6563950	0.2691935	0.0000000	0.9370928
0.9821718	0.8224701	0.2948162	0.8076683	0.4188801	0.6846150	0.4906612	0.2976907	0.0485023	0.0000000
