YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.8934630	0.9989188	0.2340959	0.8426475	0.4335523	0.1127745	0.0655058	0.9496633	0.3569131	1.0000000
0.9122244	0.9805127	0.3791197	0.7306525	0.4787777	0.2527232	0.0830681	0.9177834	0.4476791	1.0000000
0.6669904	0.8211145	0.5233157	0.7681500	0.5629111	0.4928397	0.1461321	0.8442126	0.1454414	0.4254866
0.2898528	0.9177821	0.4064583	0.5918052	0.3378922	0.3836646	0.1138035	0.9761257	0.4192220	0.7334385
0.6326878	0.5879782	0.6827770	0.8660765	0.8551561	0.5591657	0.0600400	0.9147413	0.2589193	0.8875982
0.8232703	0.7463519	0.6050595	0.8725661	0.7130317	0.5292385	0.1296180	0.9037051	0.4644276	0.8497507
0.8375928	0.9082239	0.5011707	0.7668871	0.5604000	0.3971226	0.1169626	0.9603270	0.4203569	1.0000000
0.8256263	0.6777649	0.7825154	0.8540124	0.8027630	0.5760010	0.1368482	0.8760203	0.2854024	1.0000000
0.9416253	0.4901486	0.5989266	0.8854240	0.7504494	0.7623696	0.1634099	0.7936850	0.2230652	0.6292688
0.8506441	0.3237708	0.4373007	0.7645961	0.5560692	0.7779180	0.0833919	0.8944204	0.4948926	0.9002452
