"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
100	0.2142483	0.9905431	0.5979119	0.3664985	0.5781331	0.7774326	0.0600027	0.4688547	0.9998152	1.0000000
150	0.2143225	0.9897855	0.5697047	0.4056270	0.5046032	0.7492638	0.0224979	0.4688283	0.9998321	1.0000000
200	0.2144888	0.9889694	0.5910616	0.4678497	0.4538273	0.7390555	0.0084441	0.4687783	0.9998364	1.0000000
250	0.2146616	0.9890828	0.6543047	0.5245793	0.4255223	0.7354913	0.0035623	0.4686900	0.9998374	1.0000000
300	0.2146743	0.9902232	0.7269335	0.5638255	0.4116165	0.7343295	0.0019317	0.4686028	0.9998377	1.0000000
350	0.2144717	0.9917316	0.7873096	0.5866476	0.4053562	0.7339743	0.0013989	0.4685881	0.9998377	1.0000000
400	0.2141358	0.9930689	0.8296714	0.5984233	0.4027181	0.7338741	0.0012271	0.4686798	0.9998377	1.0000000
450	0.2137794	0.9940484	0.8564662	0.6039896	0.4016646	0.7338506	0.0011719	0.4688532	0.9998377	1.0000000
500	0.2134749	0.9946920	0.8722603	0.6064480	0.4012638	0.7338482	0.0011539	0.4690566	0.9998377	1.0000000
550	0.2132466	0.9950882	0.8829384	0.6459228	0.4219463	0.8788565	0.0929401	0.4692474	0.9997556	1.0000000
600	0.2130892	0.9953375	0.8953862	0.6452711	0.4972399	0.9560276	0.1767059	0.4694045	0.9997011	1.0000000
650	0.2129836	0.9955148	0.9010821	0.5873200	0.5705737	0.9840868	0.2140952	0.4695210	0.9996843	1.0000000
700	0.2129123	0.9956143	0.8885699	0.5202294	0.6173063	0.9942186	0.2280569	0.4696022	0.9996799	1.0000000
750	0.2128709	0.9955733	0.8541855	0.4715139	0.6419071	0.9978711	0.2328702	0.4696570	0.9996789	1.0000000
800	0.2128682	0.9953240	0.8054699	0.4430894	0.6535494	0.9991760	0.2344528	0.4696893	0.9996787	1.0000000
850	0.2129182	0.9948387	0.7555064	0.4284370	0.6586963	0.9996227	0.2349550	0.4696966	0.9996786	1.0000000
900	0.2130288	0.9941585	0.7139868	0.4214597	0.6608593	0.9997489	0.2351140	0.4696727	0.9996786	1.0000000
950	0.2131943	0.9933860	0.6841641	0.4183219	0.6617233	0.9997540	0.2351762	0.4696133	0.9996786	1.0000000
1000	0.2133942	0.9926418	0.6648686	0.4169782	0.6620419	0.9997181	0.2352235	0.4695209	0.9996786	1.0000000

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.2142196	0.9907805	0.6314465	0.3676619	0.6620915	0.9995810	0.1818228	0.2680669	0.9996775	0.9932922
100	0.2142505	0.9904717	0.5823724	0.3319099	0.6620811	0.9995070	0.1770169	0.1189831	0.9996721	0.9855218
150	0.2143505	0.9892420	0.5129635	0.3195856	0.6620273	0.9991857	0.2278349	0.0638854	0.9996654	0.9810375
200	0.2146546	0.9866784	0.4544995	0.3161330	0.6618285	0.9983572	0.2744914	0.0461304	0.9996605	0.9788934
250	0.2152662	0.9830413	0.4161152	0.3153762	0.6613313	0.9968716	0.3007969	0.0406440	0.9996577	0.9779556
300	0.2161671	0.9791099	0.3943206	0.3155007	0.6604285	0.9949753	0.3128854	0.0389551	0.9996562	0.9775664
350	0.2172165	0.9756698	0.3833009	0.3160584	0.6591930	0.9931797	0.3178869	0.0384114	0.9996556	0.9774102
400	0.2182311	0.9731376	0.3786221	0.3168852	0.6578689	0.9918573	0.3198398	0.0382088	0.9996553	0.9773490
450	0.2190720	0.9715478	0.3775264	0.3178125	0.6567173	0.9910938	0.3205829	0.0381108	0.9996552	0.9773255
500	0.2196797	0.9707251	0.3783487	0.3186668	0.6558896	0.9907904	0.3208686	0.0380508	0.9996551	0.9773165
550	0.2200603	0.9705092	0.3906145	0.3680153	0.6554116	0.9909387	0.5147253	0.2372793	0.9996563	0.9840210
600	0.2201996	0.9719628	0.4465858	0.4043158	0.6554125	0.9928832	0.5019011	0.3850884	0.9996620	0.9917901
650	0.2198843	0.9760081	0.5181936	0.4167092	0.6563406	0.9957594	0.3886567	0.4396991	0.9996687	0.9962739
700	0.2190026	0.9808701	0.5748430	0.4196224	0.6579442	0.9977198	0.3081235	0.4574794	0.9996735	0.9984179
750	0.2178139	0.9848657	0.6101956	0.4194620	0.6595003	0.9987357	0.2673767	0.4633681	0.9996762	0.9993556
800	0.2166669	0.9875522	0.6290163	0.4185367	0.6606311	0.9992137	0.2494156	0.4656700	0.9996776	0.9997448
850	0.2157593	0.9891512	0.6376489	0.4176519	0.6613269	0.9994298	0.2419238	0.4668520	0.9996782	0.9999010
900	0.2151296	0.9900222	0.6408809	0.4170210	0.6617124	0.9995246	0.2387769	0.4675922	0.9996784	0.9999622
950	0.2147326	0.9904601	0.6416318	0.4166324	0.6619111	0.9995642	0.2373659	0.4680820	0.9996785	0.9999857
1000	0.2145009	0.9906610	0.6414427	0.4164144	0.6620080	0.9995793	0.2366657	0.4683984	0.9996786	0.9999947

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.1475502	0.9907918	0.6400843	0.4161834	0.6620916	0.9995844	0.2614273	0.2542876	0.9996786	1.0000000
100	0.0929019	0.9907678	0.6399893	0.4161904	0.6620870	0.9995829	0.4343463	0.0953159	0.9996786	1.0000000
150	0.0686082	0.9907559	0.6399549	0.4161948	0.6620844	0.9995821	0.6841298	0.0367707	0.9996786	1.0000000
200	0.0587001	0.9907502	0.6399457	0.4161975	0.6620831	0.9995818	0.8573134	0.0179854	0.9996786	1.0000000
250	0.0547305	0.9907477	0.6399456	0.4161990	0.6620824	0.9995817	0.9418245	0.0122203	0.9996786	1.0000000
300	0.0531465	0.9907466	0.6399481	0.4161998	0.6620820	0.9995816	0.9766456	0.0104804	0.9996786	1.0000000
350	0.0525149	0.9907462	0.6399506	0.4162002	0.6620819	0.9995816	0.9897886	0.0099590	0.9996786	1.0000000
400	0.0522631	0.9907461	0.6399524	0.4162004	0.6620818	0.9995816	0.9945110	0.0098034	0.9996786	1.0000000
450	0.0521627	0.9907461	0.6399537	0.4162005	0.6620818	0.9995816	0.9961581	0.0097572	0.9996786	1.0000000
500	0.0521227	0.9907462	0.6399544	0.4162005	0.6620818	0.9995816	0.9967216	0.0097435	0.9996786	1.0000000
550	0.1187819	0.9907462	0.6399548	0.4162005	0.6620818	0.9995816	0.9350862	0.2526642	0.9996786	1.0000000
600	0.1734461	0.9907462	0.6399551	0.4162005	0.6620818	0.9995816	0.6617562	0.4207767	0.9996786	1.0000000
650	0.1977478	0.9907462	0.6399552	0.4162005	0.6620818	0.9995816	0.4282391	0.4688422	0.9996786	1.0000000
700	0.2076598	0.9907462	0.6399552	0.4162005	0.6620818	0.9995816	0.3078141	0.4757845	0.9996786	1.0000000
750	0.2116311	0.9907463	0.6399553	0.4162005	0.6620818	0.9995816	0.2584131	0.4738654	0.9996786	1.0000000
800	0.2132160	0.9907463	0.6399553	0.4162005	0.6620818	0.9995816	0.2412308	0.4715400	0.9996786	1.0000000
850	0.2138480	0.9907463	0.6399553	0.4162005	0.6620818	0.9995816	0.2362653	0.4701216	0.9996786	1.0000000
900	0.2141000	0.9907463	0.6399553	0.4162005	0.6620818	0.9995816	0.2352596	0.4694052	0.9996786	1.0000000
950	0.2142004	0.9907463	0.6399553	0.4162005	0.6620818	0.9995816	0.2352917	0.4690738	0.9996786	1.0000000
1000	0.2142404	0.9907463	0.6399553	0.4162005	0.6620818	0.9995816	0.2354815	0.4689278	0.9996786	1.0000000

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.2142195	0.9907918	0.6400879	0.4162733	0.6607006	0.9863534	0.1631673	0.4688809	0.9996786	1.0000000
100	0.2142404	0.9907683	0.6402396	0.4176545	0.6553794	0.9793109	0.0968668	0.4688594	0.9996786	1.0000000
150	0.2142524	0.9907640	0.6418332	0.4210207	0.6498742	0.9767520	0.0672305	0.4688441	0.9996786	1.0000000
200	0.2142569	0.9907942	0.6458341	0.4249444	0.6461868	0.9758340	0.0561265	0.4688345	0.9996786	1.0000000
250	0.2142516	0.9908774	0.6516912	0.4280939	0.6441720	0.9755136	0.0522702	0.4688303	0.9996786	1.0000000
300	0.2142332	0.9910117	0.6579409	0.4301221	0.6431955	0.9754113	0.0509823	0.4688323	0.9996786	1.0000000
350	0.2142014	0.9911734	0.6633643	0.4312520	0.6427613	0.9753868	0.0505612	0.4688419	0.9996786	1.0000000
400	0.2141604	0.9913329	0.6674373	0.4318188	0.6425830	0.9753875	0.0504244	0.4688593	0.9996786	1.0000000
450	0.2141168	0.9914690	0.6701871	0.4320798	0.6425168	0.9753944	0.0503789	0.4688827	0.9996786	1.0000000
500	0.2140764	0.9915733	0.6718973	0.4321905	0.6424961	0.9754011	0.0503621	0.4689086	0.9996786	1.0000000
550	0.2140427	0.9916467	0.6728893	0.4321351	0.6439307	0.9886371	0.1229390	0.4689337	0.9996786	1.0000000
