YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0909489	0.1702850	0.3115773	0.5558417	0.8038911	0.9082002	0.6796012	0.6334730	0.7349559	0.9808252
0.1399272	0.0549511	0.3041203	0.4818258	0.8395205	0.9009882	0.6584472	0.6615896	0.8973376	0.9817493
0.1298637	0.0552787	0.1093166	0.5246191	0.8530246	0.9263896	0.6721148	0.6928032	0.7450325	1.0183400
0.1276630	0.0674652	0.0441302	0.2289017	0.9510443	0.9063468	0.6561651	0.7217611	0.8508198	1.0492361
0.3244538	0.2008048	0.4056380	0.7299855	0.4142466	0.8336001	0.6190729	0.7125598	0.7799676	0.9512249
0.1491758	0.1020246	0.3006750	0.5048876	0.7282538	0.4818890	0.6897474	0.6712556	0.8416554	0.9557475
0.1574192	0.1165063	0.2779424	0.4249288	0.9142135	0.7279346	0.2995396	0.6599133	0.7875505	0.8880155
0.1405054	0.0840059	0.2828983	0.4958895	0.8610830	0.9320045	0.7784268	0.2861482	0.7594489	0.9314658
0.1983614	0.0716171	0.2438702	0.4956583	0.9689026	0.8971345	0.8580453	0.3390137	0.4275993	1.0572994
0.1995516	0.1027381	0.1826260	0.4273862	0.7411418	0.8821921	0.8299815	0.0594168	0.1766774	0.6136016
