"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.0350700	0.0788074	0.0459666	0.6851065	0.5153971	0.9545412	1.0000000	0.9999999	0.0506590	0.0976236
50	0.0482302	0.0788884	0.0505078	0.4999362	0.5139132	0.9234248	0.4861764	0.9999999	0.0506630	0.0976397
100	0.0613811	0.0807284	0.0981824	0.3103856	0.4533616	0.6122164	0.1784374	0.9999998	0.0506720	0.0980175
150	0.0690500	0.0943617	0.2373149	0.2189027	0.2940758	0.2804732	0.0941888	0.9999966	0.0507511	0.1001455
200	0.0778516	0.1372623	0.4149086	0.2004092	0.1657627	0.1251150	0.0751569	0.9999453	0.0511103	0.1047959
250	0.1001630	0.2043321	0.5159869	0.2313117	0.0928917	0.0689458	0.0712130	0.9997079	0.0519868	0.1100766
300	0.1450815	0.2641144	0.5073928	0.2704162	0.0567042	0.0508326	0.0704338	0.9993545	0.0533470	0.1138216
350	0.2010003	0.2932971	0.4404941	0.3131252	0.0399565	0.0453533	0.0702842	0.9992018	0.0548341	0.1153526
400	0.2444399	0.2902091	0.3554129	0.3633570	0.0325344	0.0437622	0.0702561	0.9993239	0.0560221	0.1150202
450	0.2609209	0.2643538	0.2739388	0.4082774	0.0293402	0.0433131	0.0702508	0.9995599	0.0566544	0.1133884
500	0.2500858	0.2278805	0.2107706	0.4378823	0.0279941	0.0431890	0.0702499	0.9997614	0.0566904	0.1110147
550	0.2095870	0.1913590	0.1584193	0.6385037	0.0274358	0.1054413	0.5840733	0.9998847	0.0562465	0.1084538
600	0.1622446	0.1579994	0.0998817	0.8354601	0.0273015	0.4788131	0.8918122	0.9999492	0.0555066	0.1057653
650	0.1216418	0.1282184	0.0593177	0.9336983	0.0393097	0.7620437	0.9760609	0.9999796	0.0546066	0.1028853
700	0.0898516	0.1052306	0.0378667	0.9668916	0.1149653	0.8872700	0.9950928	0.9999924	0.0536388	0.1003233
750	0.0671253	0.0900790	0.0282068	0.9185507	0.2394264	0.9328850	0.9990366	0.9999972	0.0527123	0.0984719
800	0.0522912	0.0812713	0.0259284	0.8236556	0.3518572	0.9479299	0.9998159	0.9999990	0.0519247	0.0973481
850	0.0433202	0.0767911	0.0285642	0.7533198	0.4280020	0.9525970	0.9999654	0.9999997	0.0513249	0.0968036
900	0.0382486	0.0750596	0.0333952	0.7156776	0.4719467	0.9539852	0.9999936	0.9999999	0.0509147	0.0966695
950	0.0356078	0.0749497	0.0380676	0.6981753	0.4948966	0.9543856	0.9999988	0.9999999	0.0506678	0.0967805
1000	0.0344188	0.0756294	0.0414913	0.6905701	0.5060990	0.9544984	0.9999998	1.0000000	0.0505456	0.0969911

0	0.0350700	0.0788074	0.0459666	0.6851065	0.5153971	0.9545412	1.0000000	0.9999999	0.0506590	0.0976236
50	0.0350888	0.0789057	0.0523765	0.4486915	0.5154092	0.9545412	1.0000000	0.6905485	0.0506640	0.0977696
100	0.0352028	0.0820156	0.1414246	0.2063697	0.5154140	0.9545412	1.0000000	0.4052571	0.0507125	0.1000467
150	0.0371195	0.1116015	0.4261735	0.0846490	0.5154160	0.9545412	1.0000000	0.2746895	0.0512645	0.1151458
200	0.0524476	0.1984494	0.7152916	0.0335431	0.5154168	0.9545412	1.0000000	0.2237663	0.0550345	0.1515541
250	0.1078315	0.3100920	0.8779421	0.0130396	0.5154171	0.9545412	1.0000000	0.2039576	0.0696042	0.1932661
300	0.2071104	0.4029951	0.9508635	0.0050515	0.5154172	0.9545412	1.0000000	0.1939205	0.1023542	0.2256999
350	0.3168650	0.4645606	0.9807548	0.0020441	0.5154172	0.9545412	1.0000000	0.1865294	0.1500383	0.2469412
400	0.4076915	0.5003306	0.9925539	0.0009414	0.5154172	0.9545412	1.0000000	0.1805161	0.2017874	0.2604132
