YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.6158338	0.1048194	0.3447212	0.1121763	0.7147243	0.5604409	0.3050415	0.3600602	0.1258179	0.4485938
0.6727860	0.0531598	0.2171089	0.1464498	0.6965266	0.5851320	0.1273205	0.5510649	0.0178804	0.7689701
0.3895547	0.0535063	0.2794101	0.3204662	0.5046623	0.2286853	0.0201463	0.6323103	0.0256701	0.6494866
0.7937727	0.1887046	0.5875696	0.2286595	0.7396909	0.7720884	0.2612517	0.3598861	0.0700474	0.5863783
0.8114285	0.0537370	0.2864723	0.2704634	0.6773547	0.7321895	0.0778715	0.4972775	0.0232325	0.6988922
0.4433625	0.0783158	0.3843303	0.0898061	0.5696729	0.5308294	0.0909896	0.5560323	0.0699099	0.7798192
0.7611409	0.0861741	0.4491021	0.1697232	0.7351805	0.7904588	0.2883356	0.3377234	0.0715637	0.7361839
0.6257024	0.1095523	0.3831952	0.1826481	0.6445977	0.7967526	0.1780851	0.3795539	0.0587584	0.6496116
0.3198378	0.0222939	0.1987383	0.2423834	0.6398584	0.6954693	0.4200609	0.4161097	0.0218678	0.7684118
0.6715569	0.0283300	0.5097859	0.1854905	0.7440596	0.7031653	0.1000168	0.5098727	0.0317936	0.6931507
