"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.7209572	0.5984387	0.1149319	0.1385865	0.1356392	0.1811088	0.6788817	0.6345832	0.1917922	0.6621054
50	0.6611625	0.6729404	0.1877965	0.2303683	0.4058097	0.0750452	0.7238705	0.7326585	0.1560169	0.8801319
100	0.7212765	0.4058230	0.3758608	0.2829384	0.4104957	0.0586121	0.6917428	0.6769466	0.1731375	0.8474731
150	0.8331585	0.2510862	0.3743513	0.2978214	0.4802878	0.0277545	0.8166192	0.6520124	0.1426755	0.6082734
200	0.5138567	0.2438388	0.3520754	0.3312452	0.4528710	0.0283357	0.8084459	0.7807586	0.1422888	0.8132562
250	0.5522102	0.2784181	0.3715831	0.4848316	0.3767070	0.0193695	0.9425604	0.8048110	0.1711505	0.7357390
300	0.3264272	0.2750820	0.4457847	0.4410404	0.4200090	0.0112975	0.6450549	0.6983442	0.2440944	0.7366987
350	0.4581974	0.1741687	0.3301668	0.3739127	0.4663684	0.0534861	0.6501298	0.7702455	0.1299209	0.6549496
400	0.4660198	0.2585228	0.2620042	0.3691664	0.4598048	0.0578830	0.7849269	0.5925475	0.2146825	0.7409075
450	0.4306010	0.2259058	0.4987214	0.3421980	0.6655688	0.0781690	0.7850981	0.7286227	0.1969513	0.6297625
500	0.6359764	0.2256812	0.4969661	0.3992672	0.5815355	0.0511710	0.8858747	0.7538833	0.1834284	0.5775030
550	0.4398608	0.2964444	0.3985988	0.3244413	0.2207248	0.1372965	0.6422750	0.7488375	0.1581844	0.5999224
600	0.4875588	0.2661815	0.2164330	0.2182429	0.1486026	0.1771158	0.7945256	0.7033642	0.1996790	0.6700793
650	0.4882743	0.3486025	0.2439739	0.1704294	0.0985415	0.1434354	0.7016333	0.7559148	0.1780755	0.7288970
700	0.6110539	0.6275864	0.1321629	0.0875723	0.0842857	0.2005583	0.7928759	0.7170519	0.1377972	0.6802300
750	0.6712275	0.7614763	0.0995650	0.1254804	0.1296044	0.2853022	0.6701035	0.5828671	0.1720778	0.8542211
800	0.7726045	0.5958306	0.1678463	0.1072600	0.1108419	0.1824821	0.8446449	0.5204037	0.2596754	0.6657266
850	0.7102775	0.6544096	0.0752228	0.0656676	0.0997798	0.1975377	0.6588522	0.6028989	0.2189770	0.7850436
900	0.8349112	0.6060256	0.1277810	0.0514895	0.1321340	0.1947509	0.7790914	0.6385258	0.2194288	0.8457425
950	0.7929174	0.6480690	0.1186039	0.0337731	0.0929732	0.1800048	0.7247424	0.7068910	0.1764528	0.8065591
1000	0.6882624	0.5395401	0.0937070	0.0542018	0.0980538	0.2670145	0.7115384	0.7268152	0.1473187	0.8116751

0	0.7569692	0.7290831	0.0456899	0.0913641	0.1048606	0.1450361	0.7026047	0.6293732	0.1504720	0.7078523
50	0.7110757	0.6052955	0.0592727	0.0745762	0.0970319	0.0455759	0.8771887	0.8362189	0.1549270	0.2604419
100	0.6947457	0.7612973	0.0484676	0.0637212	0.1097796	0.0063697	0.9055920	0.6696067	0.2321393	0.0987827
150	0.8830453	0.8259713	0.0458114	0.0775330	0.0619885	0.0058659	0.7922733	0.6454843	0.6246469	0.0804782
200	0.5775299	0.9232966	0.0289567	0.0900498	0.0667383	0.0100314	0.7635872	0.7390260	0.7476834	0.0469852
250	0.7191300	0.7580086	0.0208826	0.0659853	0.0653903	0.0228880	0.9051508	0.6797421	0.7184857	0.0538056
300	0.6452402	0.8240406	0.0100291	0.0712685	0.0373063	0.0082638	0.7448430	0.5096950	0.7155229	0.0876506
350	0.6913900	0.6377298	0.0084601	0.0331258	0.1095566	0.0157350	0.8052157	0.5395555	0.7094731	0.0180017
400	0.6829367	0.8377301	0.0165563	0.0714641	0.0939816	0.0163849	0.7566010	0.3871380	0.7748181	0.0198276
450	0.7561923	0.8061603	0.0326435	0.0863862	0.1340352	0.0086145	0.7599953	0.3187034	0.7141087	0.0311295
500	0.8064979	0.6987915	0.0214910	0.0547322	0.0926326	0.0037072	0.8096886	0.4111562	0.6647790	0.0322532
550	0.7737657	0.8686635	0.0229070	0.0526799	0.0731040	0.1871001	0.7732982	0.4191330	0.5440199	0.5577580
600	0.6737465	0.7786691	0.0079833	0.0267166	0.0727420	0.1350547	0.8235480	0.5149110	0.2294531	0.7566688
