YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.1202081	0.4283570	0.0130559	1.0302315	0.0587691	0.7170480	0.5881858	0.1605313	0.0196045	0.0319561
0.0459981	0.2625506	0.0495224	0.9323352	0.0819397	0.7879835	0.4716359	0.1643347	0.0282186	0.0518911
0.1554031	0.3960791	0.0242243	0.8895557	0.1068792	0.7901020	0.6291522	0.3474422	0.0233862	0.0626214
0.9279842	0.8613973	0.3177373	0.4630216	0.0808149	0.7511202	0.5649919	0.4280393	0.0474128	0.0440795
0.1532363	0.3998173	0.0557288	1.0558411	0.0588178	0.6128575	0.6972380	0.4003199	0.0399368	0.0521283
0.2158908	0.4479688	0.0377239	0.9892819	0.1539833	0.4155776	0.6047852	0.7034335	0.0422920	0.0527853
0.1781910	0.4593097	0.0648131	0.9328281	0.0384497	0.9262989	0.2537371	0.2354285	0.0503370	0.0521399
0.2631486	0.4279297	0.0470934	1.0573447	0.0484023	0.9151529	0.4616452	0.0973031	0.0222997	0.0376290
0.1402279	0.4323279	0.0842996	1.0551295	0.0510412	1.0408689	0.3715039	0.1661998	0.0346516	0.0234664
0.1990215	0.4297261	0.0437844	0.9676366	0.1127810	0.8528413	0.5289467	0.1775218	0.0220262	0.0406282
