YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.1428947	0.0709935	0.2332159	0.3712460	0.6160393	0.6783338	0.4622543	0.5011324	0.5756161	0.6864466
0.4602538	0.5834198	0.5886674	0.3324485	0.7298478	0.5880102	0.4122219	0.6310328	0.6717187	0.4676185
0.4104892	0.0633890	0.2737265	0.4004259	0.6665986	0.6939880	0.3841632	0.5059139	0.6415518	0.7617444
0.0661010	0.0551310	0.2310977	0.3696647	0.8176722	0.6489877	0.6190644	0.1071204	0.2501780	0.4879683
0.4550565	0.2065148	0.4471124	0.5918830	0.7631494	0.7037555	0.4020073	0.7203139	0.5605716	0.7159031
0.1363690	0.0741703	0.2671641	0.3582104	0.5794692	0.5677601	0.2202314	0.6751006	0.4752336	0.8097407
0.0968377	0.0459213	0.2314951	0.5201449	0.7791444	0.6953001	0.3423094	0.6691585	0.7478176	0.8636199
0.1656796	0.0711083	0.2929124	0.4424400	0.5972679	0.8233806	0.2969205	0.3138505	0.3733781	0.6128035
0.3385570	0.0235767	0.1382429	0.4275076	0.6791973	0.7022145	0.7006396	0.1562757	0.2434519	0.6261750
0.4099922	0.2697130	0.2421260	0.4719041	0.6009884	0.8138067	0.3821483	0.5898417	0.7578460	0.6116691
