YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	1.0319701	0.4389293	0.6234601	0.6754437	1.0620637	0.4731075	0.3857828	0.6793199	1.0237770
1.0876672	0.0000000	0.5115534	1.0332756	0.1895693	0.3883781	0.6855214	0.3050926	0.5720812	0.9852857
0.4148856	1.0654652	0.0000000	0.7591878	0.3202057	0.5719259	0.6326214	0.3381415	0.6740912	1.0366592
0.5466191	0.9514455	0.6638063	0.0000000	0.2831136	0.4883970	0.6598515	0.2554294	0.5971591	1.0287971
0.5257927	0.9994660	0.2408906	1.0601165	0.0000000	0.3981831	0.8506771	0.3256047	0.6307994	1.0816145
0.4867947	1.0246947	0.2695149	0.9548501	0.0366411	0.0000000	0.7118386	0.3890310	0.4549377	1.0015723
0.4887739	0.9854665	0.5313491	0.7254119	0.3729645	0.5345225	0.0000000	0.3362137	0.6223138	0.9574547
0.5073416	1.0179970	0.4221780	0.8505460	0.2268593	0.4182677	0.8419913	0.0000000	0.6248553	0.9874393
0.4202704	1.0164296	0.5041027	0.6305211	0.3344247	0.6051489	0.2659035	1.0031268	0.0000000	1.0255549
0.4871440	1.0384841	0.4755506	0.7230284	0.3122160	0.6310934	0.5427174	0.5617505	0.2508684	0.0000000
