"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
450	0.3653405	0.8607158	0.3491461	0.6113336	0.4255247	0.6175687	0.4176884	0.0267666	0.4598917	0.4482552
500	0.3366595	0.8620579	0.3158840	0.5427479	0.4383846	0.5759644	0.4505350	0.0179006	0.5373509	0.3340035
550	0.3313969	0.7876073	0.2906076	0.9431379	0.4405874	0.5917951	0.4145204	0.0315444	0.5780412	0.2973689
600	0.3472581	0.7447415	0.2286204	0.9819250	0.4675047	0.6330716	0.5067131	0.0453215	0.6149085	0.3008057
650	0.4096746	0.6334752	0.1309182	1.0145121	0.5404622	0.5121249	0.4149816	0.0566818	0.6309595	0.3917949
700	0.4645057	0.4318461	0.1489578	1.0884215	0.5270900	0.5263734	0.3648952	0.0292930	0.5954598	0.3329796
750	0.4541891	0.3944732	0.1261938	1.0872752	0.4495390	0.6303421	0.4012869	0.0220044	0.6027162	0.3373540
800	0.5385751	0.2959023	0.1003866	1.0330561	0.4598769	0.6553801	0.5121091	0.0295005	0.5436731	0.3461987
850	0.6137959	0.2535819	0.0805230	1.0268598	0.4380484	0.5545313	0.4218131	0.0187505	0.5902227	0.3760268
900	0.7053161	0.1427737	0.0765645	1.0553634	0.4082731	0.5321541	0.4371668	0.0252904	0.4946663	0.3903115
950	0.7783663	0.1108080	0.1021728	1.0252904	0.4373059	0.4934164	0.5189655	0.0318411	0.5744825	0.3253310
1000	0.8233376	0.1633631	0.1441258	1.0188960	0.5314520	0.4884724	0.3857914	0.0369402	0.5390220	0.2651530

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.4577043	0.1207639	0.1307300	0.8792631	0.4594487	0.5935638	0.4738795	0.0046513	0.1495544	0.2538103
100	0.3725417	0.1371917	0.1398501	0.9462038	0.5401782	0.5156520	0.5006023	0.0036047	0.1734398	0.3047000
150	0.3409668	0.2770146	0.1506015	1.0129142	0.5047593	0.5569298	0.5052937	0.0046014	0.1467593	0.2821661
200	0.3169547	0.4165576	0.1791829	1.0657865	0.4971204	0.5143940	0.5287298	0.0000000	0.1000649	0.2749975
250	0.2622354	0.4319266	0.1645989	1.0945039	0.4576723	0.5216429	0.4138744	0.0028388	0.1436870	0.2801889
300	0.2174969	0.2848416	0.1069828	1.0514730	0.4936829	0.5172257	0.4570870	0.0018242	0.1184685	0.2803353
350	0.2384799	0.2580410	0.1124434	1.0264669	0.4802547	0.4937971	0.4229552	0.0083036	0.1427422	0.3606364
400	0.3177429	0.1950029	0.0947856	1.0162206	0.5282125	0.5620048	0.3770684	0.0127892	0.1257734	0.2755940
450	0.2903881	0.2093527	0.1306231	0.9597216	0.4914560	0.5581024	0.3296980	0.0021128	0.1283881	0.3347709
500	0.3164125	0.1823136	0.1257002	1.0366063	0.4427942	0.6149645	0.4214814	0.0104438	0.1046648	0.3764734
550	0.7408485	0.1524902	0.1056385	0.9530745	0.4237955	0.5916435	0.4625795	0.0117864	0.5417493	0.3485091
600	0.9298385	0.1224798	0.1166014	1.0366811	0.4542591	0.5834308	0.3063663	0.0277472	0.6689488	0.3731726
