YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3420468	0.1683867	1.0000000	0.1533202	0.4736520	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.8349529	0.0841933	1.0000000	0.3915474	0.5582508	0.9999712	0.0655629	0.6572121	0.1277608	0.0495540
0.2791623	0.7236004	0.5000000	0.0927529	0.4626659	0.9999999	0.0170980	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.1504209	0.4729986	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2512371	0.2510968	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.2700797	0.3611254	0.4999997	0.0240644	0.6403095	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190059	0.5276492	1.0000000	0.0121146	0.6572121	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190127	0.5276554	0.9999997	0.0207547	0.3286180	0.1277604	0.0495538
0.6840931	0.1683867	1.0000000	0.3190059	0.5276492	0.9999995	0.0240850	0.6421597	0.0638968	0.0495538
0.6840931	0.1683867	1.0000000	0.3190204	0.5276624	0.9999995	0.0241187	0.6462953	0.0867294	0.0247797
