"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.7873676	0.8277081	0.6334338	0.0191050	0.8482075	0.0404130	0.0199735	0.8094051	0.6698064	0.0316992
50	0.4218715	0.6375271	0.7282605	0.0376872	0.8005502	0.0110240	0.0383366	0.6934827	0.8653843	0.1518413
100	0.6067210	0.8563721	0.6686747	0.1820656	0.7512793	0.0044654	0.0003235	0.7288772	0.7429893	0.1334832
150	0.6128492	0.7511052	0.8292042	0.4013700	0.7186531	0.0001584	0.0029196	0.6826963	0.5858039	0.2116228
200	0.5416185	0.7024337	0.7644797	0.4743724	0.8117376	0.0053577	0.0007904	0.7345413	0.4630438	0.2234444
250	0.5477979	0.7195135	0.7276884	0.6896978	0.7310056	0.0000600	0.0002964	0.7466353	0.7025118	0.2136085
300	0.5474868	0.6641131	0.8253382	0.6204980	0.7223189	0.0012191	0.0006613	0.6439597	0.4203666	0.3565094
350	0.4313462	0.8534350	0.7955852	0.6841609	0.7360915	0.0003106	0.0019778	0.7427733	0.4237846	0.3269617
400	0.5060396	0.7278953	0.6853407	0.7111018	0.8272713	0.0008932	0.0034924	0.5814679	0.4909214	0.3399585
450	0.5438157	0.6586734	0.7919475	0.7918257	0.6949645	0.0000612	0.0003868	0.6387354	0.5055130	0.4624191
500	0.4543003	0.7584008	0.6856878	0.8624749	0.6769556	0.0000000	0.0000000	0.6994922	0.4550840	0.3822471
550	0.5031297	0.8095678	0.6767996	0.7986039	0.6492488	0.0241487	0.0351473	0.6702072	0.4519216	0.2371923
600	0.4189924	0.7654080	0.7881482	0.6278338	0.7179398	0.0299696	0.0483183	0.6867165	0.4369267	0.2015110
650	0.5782259	0.7450250	0.8845391	0.6724285	0.7566372	0.0310026	0.0371084	0.7906653	0.4920625	0.1420834
700	0.4611650	0.6719913	0.7031830	0.6060440	0.5734186	0.0227800	0.0174356	0.6843499	0.5860622	0.1337756
750	0.4931911	0.7640656	0.7670707	0.6150960	0.6182981	0.0254498	0.0417789	0.6366465	0.6831259	0.1685299
800	0.5113698	0.8140359	0.7416502	0.6805010	0.7630813	0.0387787	0.0315776	0.6386929	0.6897996	0.1969649
850	0.5487248	0.8501275	0.7347210	0.6740643	0.8136488	0.0610792	0.0382836	0.7136316	0.8535449	0.1046021
900	0.6258543	0.7079685	0.8030729	0.4875774	0.6692691	0.0205232	0.0342974	0.7398351	0.5613847	0.1152288
950	0.6132301	0.7209221	0.8285741	0.4533034	0.6455445	0.0387768	0.0188638	0.6819254	0.6472305	0.0724850
1000	0.5588596	0.7200853	0.6841220	0.2289831	0.5834546	0.0332083	0.0502061	0.7498980	0.6994075	0.0295685

0	0.6082503	0.7684923	0.7440078	0.0282783	0.7449511	0.0265142	0.0725130	0.7902088	0.7532347	0.0330563
50	0.4822414	0.4453988	0.9516599	0.2556790	0.7930313	0.0752040	0.0468945	0.7931904	0.6979490	0.0129092
100	0.6758399	0.4951073	0.7952920	0.3592652	0.7253553	0.0447543	0.0181917	0.8061993	0.7380155	0.0040507
150	0.2931264	0.3236709	0.7706705	0.3270637	0.6956320	0.0545280	0.0238419	0.7304703	0.7654773	0.0123773
200	0.3615411	0.3395747	0.8708087	0.4249460	0.8121973	0.0353293	0.0182853	0.6324989	0.7886518	0.0067810
250	0.3055262	0.3181861	0.6867085	0.3119449	0.6438144	0.0587266	0.0504297	0.7846879	0.8312396	0.0203640
300	0.2528185	0.2624332	0.7247464	0.4916276	0.6541962	0.0387193	0.0369746	0.7114641	0.6944378	0.0133427
350	0.3475264	0.3027085	0.7653384	0.3388596	0.6893863	0.0603515	0.0324181	0.7515003	0.6574958	0.0257661
400	0.3125751	0.2551867	0.7330767	0.4079001	0.6086319	0.0375315	0.0272799	0.7906400	0.8180364	0.0147973
450	0.2081233	0.2450374	0.6486832	0.4360060	0.7084513	0.0315374	0.0251425	0.7532046	0.8085812	0.0261772
500	0.2128593	0.3647799	0.6470208	0.4181339	0.7016484	0.0391365	0.0612483	0.8904850	0.7993810	0.0242844
