YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.0320824	0.0722036	0.7345338	0.7516215	0.7968091	0.1727571	0.5571295	0.7780465	0.9223180
0.6750019	0.0000000	0.0692248	0.6964483	0.7558446	0.8997721	0.2093610	0.5807517	0.7604213	0.7191179
0.7172561	0.0621047	0.0000000	0.7128108	0.7661132	0.8224234	0.1929324	0.6260175	0.6751829	0.8663102
0.3200980	0.6559569	0.8250888	0.0000000	0.8185294	0.8063881	0.0270477	0.6725985	0.6844809	0.7249586
0.2786042	0.7203259	0.8789429	0.0292994	0.0000000	0.8648021	0.0248070	0.3565255	0.0721178	0.0510255
0.7628861	0.1574815	0.2933080	0.1225939	0.0101820	0.0000000	0.2426347	0.4598257	0.4904947	0.2106321
0.9307168	0.0389047	0.0688344	0.7236838	0.7562148	0.8090893	0.0000000	0.7510473	0.6727316	0.7298349
0.8249668	0.0394623	0.0866882	0.7027470	0.6637418	0.7487584	0.1514581	0.0000000	0.6450638	0.8285338
1.0000000	0.0223075	0.0476109	0.7352207	0.8330968	0.6922358	0.1715762	0.1810919	0.0000000	0.6929492
0.7402829	0.0230008	0.1031523	0.9459353	0.7132391	0.6436299	0.2416656	0.1765624	0.0087308	0.0000000
