"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.7648312	0.0325127	0.3690932	0.5038198	0.5486983	0.3800823	0.1322334	0.6952243	0.3764035	0.7356177
50	0.7057654	0.0285140	0.1861456	0.7872781	0.4686256	0.4661604	0.1860577	0.5900348	0.2283854	0.4534948
100	0.8369297	0.0196553	0.2425306	0.6600470	0.4689079	0.4162251	0.2532012	0.4088088	0.5844681	0.2459378
150	0.7894126	0.0158026	0.2799593	0.6804810	0.5152661	0.3532922	0.2951758	0.2326455	0.5493090	0.1679782
200	0.7362914	0.0125856	0.1620989	0.6293583	0.5310713	0.3266490	0.4367813	0.1830898	0.7576203	0.1038320
250	0.9285445	0.0118322	0.1917273	0.7126152	0.4877453	0.3776791	0.6831212	0.0744850	0.6491250	0.0562958
300	0.8203113	0.0123858	0.2888265	0.6269377	0.6000559	0.3029894	0.5611458	0.0675412	0.8359090	0.0864046
350	0.7007806	0.0071660	0.2050605	0.7653910	0.7112822	0.2745343	0.6504117	0.0920188	0.7307561	0.0358029
400	0.7816300	0.0220533	0.1936982	0.7509965	0.6632990	0.2532065	0.6300742	0.0529149	0.7552019	0.0568371
450	0.8111629	0.0160153	0.2096072	0.8053639	0.7295996	0.1731275	0.7086054	0.0631367	0.8956102	0.0606787
500	0.8674436	0.0159918	0.2489211	0.8321093	0.6295505	0.2342263	0.6482086	0.0689328	0.8442591	0.0495116
550	0.8131104	0.0446504	0.1897308	0.6928273	0.5310905	0.2326836	0.6603534	0.0765922	0.7096859	0.2842656
600	0.8535941	0.0403467	0.2280039	0.7406089	0.6461320	0.1915833	0.6747232	0.1759666	0.6359307	0.5269446
650	0.7542165	0.0297740	0.1744174	0.6355452	0.6197361	0.1603940	0.6012209	0.3270359	0.4676156	0.7352085
700	0.6494807	0.0346770	0.1893652	0.6811927	0.6767118	0.1444486	0.6126156	0.4631709	0.3543757	0.8487785
750	0.7788948	0.0184230	0.2673183	0.7201690	0.6333193	0.2367453	0.2953982	0.6665519	0.3130085	0.6212553
800	0.7948876	0.0210042	0.2243142	0.7181345	0.6301716	0.1681785	0.2891669	0.5310106	0.3237435	0.6501261
850	0.6926598	0.0247767	0.2667523	0.5923328	0.5159195	0.2514378	0.3301222	0.6402694	0.2220436	0.7282548
900	0.7955506	0.0153989	0.2934930	0.6350927	0.5394019	0.2286582	0.2684958	0.6846668	0.2952896	0.8062839
950	0.8108831	0.0313558	0.2216282	0.6183307	0.5648002	0.2440977	0.1666700	0.5883631	0.2106051	0.6311127
1000	0.7122234	0.0248884	0.3270274	0.6224020	0.5742589	0.4077654	0.1585206	0.7275894	0.2131036	0.6953332

0	0.8030239	0.0242113	0.2901091	0.5519911	0.3905495	0.3584734	0.1312034	0.6264133	0.3193294	0.7155034
50	0.6715167	0.1868527	0.2714327	0.5607553	0.5056842	0.2931912	0.1295590	0.7536697	0.2923146	0.7039413
100	0.7199023	0.2636721	0.2184684	0.7473641	0.5324055	0.4050825	0.1122356	0.7202956	0.2992001	0.6749745
150	0.2585693	0.2130032	0.2516299	0.6182067	0.5368466	0.3223079	0.1106058	0.6865989	0.2711346	0.6682927
200	0.2182559	0.3691545	0.3083670	0.7328434	0.5800546	0.3957354	0.1119467	0.6898599	0.2717044	0.6297398
250	0.0744124	0.2965991	0.1994172	0.7080598	0.4815966	0.3323746	0.1748731	0.6433944	0.2176229	0.7270912
300	0.0695710	0.2582755	0.2016530	0.7734616	0.5464280	0.2196396	0.1257625	0.7264820	0.3250586	0.7026235
350	0.0370370	0.4212085	0.2521636	0.6432477	0.4859423	0.3665622	0.1217834	0.6810939	0.2265117	0.6730874
400	0.0356303	0.2592058	0.2055011	0.6147665	0.6208690	0.3441050	0.1445742	0.5727947	0.3206977	0.7027617
450	0.0484047	0.2644173	0.2187655	0.6239183	0.6316478	0.3247547	0.2268441	0.6023883	0.3638087	0.7687493
500	0.0333174	0.3373990	0.2491964	0.5577886	0.6947643	0.2962299	0.1879187	0.6710806	0.3511362	0.6508847
550	0.0519657	0.1298990	0.2497780	0.5556357	0.5790330	0.3453006	0.2555402	0.5800801	0.3633843	0.7424222
600	0.1236683	0.0680820	0.1899654	0.6831602	0.5475637	0.2906844	0.2044594	0.5071028	0.4208717	0.6867843
650	0.2554289	0.0638176	0.2471188	0.6495392	0.4648123	0.2566900	0.2671689	0.6948289	0.3386989	0.6843959
700	0.5286861	0.0242422	0.1924872	0.7368636	0.4196735	0.3109735	0.1444100	0.7288683	0.4062376	0.8175444
750	0.7129759	0.0207333	0.2067904	0.5965524	0.4076246	0.2871865	0.2071459	0.6452045	0.3449736	0.7500040
800	0.5576688	0.0249593	0.1960304	0.6226641	0.4070325	0.2859665	0.1568928	0.5228363	0.3054904	0.6824620
850	0.6345267	0.0302895	0.2646877	0.4446061	0.4992799	0.3233360	0.1565320	0.6490134	0.3244525	0.6762381
900	0.6884147	0.0129491	0.2926275	0.4947445	0.4651226	0.3032800	0.1744667	0.6900702	0.3700077	0.8096230
950	0.7445736	0.0145796	0.2760903	0.4831445	0.4360750	0.3479818	0.1667648	0.6524103	0.2871777	0.7446514
1000	0.7004782	0.0347108	0.3252621	0.4446980	0.3869211	0.2153735	0.2509714	0.5161892	0.2161600	0.7955412

0	0.8860050	0.0381100	0.2556948	0.5549784	0.6009219	0.3874759	0.1506799	0.6413781	0.3168957	0.7260731
50	0.7036244	0.0104158	0.2408013	0.6284626	0.4163946	0.2723415	0.0790658	0.6862057	0.3522580	0.5859089
100	0.7685934	0.0075647	0.2251459	0.6216486	0.4333099	0.1509398	0.1521024	0.5458951	0.5301063	0.2308616
150	0.7626376	0.0162925	0.1458510	0.4787005	0.3712138	0.0856947	0.1856738	0.3692349	0.5899744	0.1059231
200	0.7315368	0.0132341	0.1577743	0.4946718	0.5161022	0.0743084	0.3049853	0.3935333	0.7134233	0.0274711
250	0.7756198	0.0289719	0.1947294	0.6659362	0.5301065	0.0351228	0.3693475	0.3118355	0.6222344	0.0344158
300	0.6951158	0.0382422	0.1409305	0.7215924	0.6343847	0.0269128	0.3799003	0.2510869	0.7886593	0.0108742
350	0.7159931	0.0541649	0.1250104	0.6711752	0.5815823	0.0098462	0.5224417	0.2636251	0.7488563	0.0108969
400	0.6770006	0.0247646	0.1153106	0.7595119	0.5362000	0.0216695	0.4287137	0.2538204	0.7225734	0.0217854
450	0.7762743	0.0336184	0.1212119	0.7315569	0.4710008	0.0490294	0.4627288	0.2330904	0.8096699	0.0203674
500	0.7193458	0.0131107	0.1363806	0.5672685	0.6684417	0.0317648	0.3709072	0.2641272	0.6974846	0.0211960
550	0.9029871	0.0282537	0.1829077	0.6783283	0.6187763	0.0539662	0.3688579	0.1710697	0.8109396	0.2400988
600	0.6798565	0.0198216	0.1791752	0.6235832	0.6916525	0.0995166	0.4489453	0.1868510	0.5760814	0.5755811
650	0.7876158	0.0136460	0.2164157	0.6752268	0.5508205	0.1686894	0.4828435	0.2285369	0.4339388	0.7905999
700	0.8261466	0.0091847	0.3049737	0.5566948	0.6621633	0.2399159	0.3647172	0.4383530	0.2882226	0.7528185
750	0.7723717	0.0109323	0.1919581	0.7003479	0.4726098	0.2762035	0.3086843	0.5112175	0.4499932	0.5976477
800	0.6671605	0.0281813	0.2204360	0.5997622	0.5052869	0.2469917	0.2108404	0.6272122	0.3087996	0.7048050
850	0.8767511	0.0145690	0.1879210	0.5666110	0.5569529	0.2587721	0.1787204	0.5482234	0.3147962	0.7593204
900	0.7544447	0.0337339	0.2926244	0.5542308	0.5173157	0.3142384	0.2722752	0.7273953	0.3303902	0.6309604
950	0.6749353	0.0256433	0.2698758	0.7336319	0.4179047	0.2962026	0.1621667	0.5995839	0.2730678	0.7948773
1000	0.8247793	0.0358142	0.2713799	0.6552569	0.4171576	0.2631219	0.2109447	0.7145959	0.2634111	0.8074545

0	0.7880124	0.0541182	0.2746669	0.5569500	0.5486331	0.3732783	0.1809932	0.6632934	0.2884129	0.6073224
50	0.6626923	0.0241122	0.1828713	0.5930417	0.4262459	0.2893052	0.2026958	0.6271843	0.2208591	0.8005818
100	0.5192445	0.0378576	0.2214948	0.5977632	0.4085020	0.3716166	0.1697130	0.6596055	0.2502761	0.8244527
