YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.9999997	0.0000000	0.0016167	0.3145598	0.7606374	0.0350843	0.2165552	0.8687420	0.0000000	0.5397241
0.8102975	0.3126554	0.5579315	0.2884850	0.9320712	0.0092292	0.3769995	0.8960450	0.2911103	0.8146374
0.5783612	0.4397957	0.3189945	0.2701697	0.9999998	0.0092887	0.2906482	0.9999745	0.0027701	0.9036847
0.8236617	0.2840897	0.5091767	0.3710902	0.5211611	0.0427599	0.2446941	0.9999998	0.0001662	0.4645238
0.6895824	0.0826688	0.3740941	0.3118318	0.8555605	0.0740005	0.2900688	0.8990301	0.2858768	0.3810057
0.8313991	0.2708985	0.6403395	0.1726818	0.9999993	0.0125777	1.0000000	0.8906251	0.0008427	0.8251105
0.7190926	0.3046630	0.4077340	0.2032351	0.8168811	0.0100734	0.3192003	0.6747132	0.0005336	0.9712767
0.6964353	0.5936774	0.8388821	0.2302487	0.9149040	0.0635038	0.5982711	0.8921001	0.0160925	0.4097219
0.9137016	0.1284487	0.1021021	0.2701712	0.9999941	0.0225215	0.7974238	0.9996749	0.0112345	0.6628283
0.5859494	0.3676159	0.7629656	0.2406481	0.8920789	0.0136166	0.8276610	0.9412690	0.2060458	0.8396900
