YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000000	0.1118267	0.2982046	0.4689191	0.6116292	0.6673936	0.5260768	0.5131539	0.6001022	0.7549907
0.0364008	0.0000000	0.1641865	0.3797547	0.7623991	0.8453034	0.5187623	0.6285185	0.7875048	0.9419671
0.0365866	0.0328256	0.0000000	0.3623312	0.6567074	0.8350623	0.6057504	0.5516483	0.7316026	0.8362157
0.1075322	0.0391902	0.0027067	0.0000000	0.7772717	0.6657610	0.6027137	0.5626673	0.5877033	0.7332937
0.2867749	0.2659350	0.4510325	0.7308927	0.0000000	0.6861723	0.4881425	0.6564255	0.6857894	0.6989849
0.0958506	0.0168085	0.0008100	0.0031746	0.0199583	0.0000000	0.5289611	0.6305791	0.6895174	0.8106171
0.0734262	0.0458551	0.2775092	0.3862690	0.2272311	0.0534204	0.0000000	0.5743773	0.7105609	0.8603049
0.1595278	0.0814675	0.1564310	0.3390692	0.8492215	0.7898096	0.7474597	0.0000000	0.7641423	0.8490550
0.1749295	0.0891296	0.1525443	0.3410688	0.7188232	0.6102581	0.7735295	0.0256233	0.0000000	0.7446623
0.1460333	0.1123183	0.1721421	0.3478379	0.6098896	0.7045161	0.6291354	0.0286065	0.1011201	0.0000000
