YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.5583197	0.2561597	0.0611908	0.1151615	0.0661173	0.5929496	0.6281249	0.2585993	0.7895052
0.0589132	0.0000000	0.2594614	0.0962096	0.1538907	0.0614605	0.5979841	0.1176270	0.7154993	0.7780562
0.0412618	0.1288800	0.0000000	0.1132245	0.0642357	0.0796695	0.6381872	0.0715692	0.7063083	0.7886832
0.0603590	0.0539474	0.0162358	0.0000000	0.0927798	0.0683565	0.6188393	0.0493399	0.8160867	0.7111409
0.5941264	0.4599422	0.1293136	0.0535912	0.0000000	0.0707899	0.7132475	0.4217570	0.3631277	0.6577051
0.5680999	0.3168164	0.1090140	0.0245904	0.0261077	0.0000000	0.7385685	0.5779533	0.2635096	0.7721889
0.5765520	0.5812026	0.7004775	0.5953813	0.7167602	0.6970902	0.0000000	0.6502531	0.2956458	0.6736056
0.7151842	0.5598323	0.3764858	0.2937070	0.2493050	0.0568367	0.5611042	0.0000000	0.2761424	0.7555690
0.6641063	0.7425146	0.2323516	0.0975682	0.0845540	0.0326104	0.6112041	0.7308992	0.0000000	0.7901998
0.6411658	0.8298348	0.5565327	0.6447944	0.7119353	0.7781640	0.0182596	0.0339494	0.7080608	0.0000000
