"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.5586783	0.3569097	1.0528587	0.9459913	0.1946093	0.9636150	0.8891602	1.0538271	1.0495853	0.0472618
50	0.4681051	0.2695782	0.9405354	0.9285167	0.1802212	0.8821589	0.8553368	0.9122591	1.0049661	0.3887942
100	0.4408517	0.3168813	1.0885023	1.0291465	0.1793426	0.7584210	0.8980161	0.9284383	0.6473553	0.4378187
150	0.4313587	0.2828732	1.0762759	1.0511097	0.2107134	0.7813706	0.7855972	1.0597637	0.2809598	0.4603158
200	0.4158174	0.2652697	1.0575580	1.0257174	0.2489910	0.7903531	0.9230680	1.0343740	0.2163727	0.5229690
250	0.4072990	0.2294310	1.0005757	1.0123934	0.2981637	0.7366109	0.8703974	1.0293894	0.1865027	0.5191395
300	0.3884464	0.2664295	0.9687014	0.9068255	0.3857263	0.8300122	0.8050983	0.9719491	0.1180708	0.6362697
350	0.4603020	0.2788339	1.0542216	0.8160890	0.4042853	0.8086888	0.8040571	0.9477574	0.0830660	0.7109987
400	0.4468222	0.2971053	0.9975484	0.7825984	0.3659571	0.7343308	0.9338666	1.1260780	0.0542761	0.6670199
450	0.4774882	0.2902831	1.0585934	0.7886831	0.3598349	0.7127409	0.9056456	0.9974665	0.0433197	0.6728346
500	0.4722995	0.3081409	0.9581171	0.8298942	0.3893508	0.8372269	0.8204738	0.9921921	0.0309906	0.6951105
550	0.5205923	0.3728289	0.9577448	0.8518843	0.3407712	0.8681347	0.8461198	0.8430809	0.0327298	0.5446297
600	0.5809860	0.3710536	0.9279839	0.8751112	0.2560201	0.9220902	0.8359071	0.6741874	0.0855917	0.4121726
650	0.6136289	0.3758675	0.9440515	0.8523146	0.2679384	1.0417286	0.8273374	0.7235639	0.3456144	0.2533409
700	0.5241993	0.3128462	0.9059672	0.9610800	0.2780560	1.0633819	0.8133156	0.7019455	0.5738585	0.2251461
750	0.5068510	0.3531768	1.0084974	0.9644333	0.2612371	0.9287262	0.9092059	0.9006162	0.8344601	0.2616087
800	0.6499442	0.3871736	0.9354937	0.9976612	0.2216586	0.9486942	0.9348768	0.9682093	0.8966442	0.2095061
850	0.6309016	0.4807259	0.9982011	0.9957015	0.2325554	0.9900685	0.8753120	1.0597919	0.9352122	0.1529234
900	0.7250962	0.3277232	1.0364867	0.8928549	0.2299648	0.9832050	0.9584021	1.0344503	1.0114061	0.1654403
950	0.6001157	0.3342540	0.8863043	0.9017369	0.2074086	1.0500424	0.8700619	0.9229123	0.9774148	0.1394009
1000	0.5735088	0.4028613	0.9351549	0.9489596	0.2039112	1.0138116	0.8850814	0.8672800	0.9948250	0.1224570

0	0.5586783	0.3569097	1.0528587	0.9459913	0.1946093	0.9636150	0.8891602	1.0538271	1.0495853	0.0472618
50	0.5086419	0.2858562	0.9527435	0.6892012	0.1627558	1.0430802	0.9967226	0.9968616	0.9156991	0.0605028
100	0.5092873	0.3149819	1.0173647	0.5346965	0.1418336	1.0158321	0.8228664	0.9963903	0.7553638	0.0334946
150	0.5538109	0.2812341	0.9097787	0.5044983	0.1828823	0.8866114	0.8721484	0.8795389	0.7728644	0.0151851
200	0.5020591	0.3407895	0.9897947	0.5354972	0.1793224	0.9610027	0.9293357	0.8399837	0.8515666	0.0283802
250	0.5712292	0.2685261	0.9964087	0.5232523	0.1666516	1.0175905	0.8484347	0.9548048	0.8016665	0.0375921
300	0.5809058	0.3731220	0.9816724	0.6116298	0.1599387	0.9700372	0.9087602	0.9639900	0.8357347	0.0233536
350	0.5619835	0.3631639	1.0198130	0.5276460	0.1183954	1.0629898	0.9023975	1.0452144	0.8009529	0.0171966
400	0.5234986	0.3811404	1.0172682	0.5477519	0.1147282	1.0369364	0.8920574	0.8710526	0.8276787	0.0132290
450	0.4885565	0.2999081	1.0324688	0.5384790	0.1073771	1.0305142	0.8464569	0.9184772	0.8844081	0.0048303
500	0.5538389	0.3217999	1.0083632	0.5617013	0.1039646	1.0326703	0.7862297	0.9516608	0.8646937	0.0063166
550	0.5481484	0.3429175	0.9594229	0.9048311	0.1614915	1.1162147	0.8281955	1.0127838	0.9661925	0.0033292
600	0.5715279	0.3799249	1.0462804	0.9790012	0.1681074	1.0362871	0.8875513	0.9956260	1.0743551	0.0221526
650	0.5632520	0.3103915	1.0323479	0.9188868	0.1504753	0.9928713	0.8951280	0.9398043	0.9441610	0.0205521
700	0.4434446	0.2975162	0.9802282	0.9572664	0.1888347	0.9041209	0.9212913	0.9336666	1.0537818	0.0298536
750	0.5157490	0.2587493	0.9784553	1.0056980	0.1620884	1.0343025	0.8934866	0.9988885	1.0259503	0.0554878
800	0.4779875	0.2705346	1.0583952	0.9462371	0.1739558	0.9853432	0.9377424	0.9863145	1.1372735	0.0500862
850	0.5195622	0.2964674	1.0819677	0.9197191	0.1738736	0.9363695	0.8484569	0.9955878	1.0305769	0.0679016
900	0.4841032	0.3047509	0.9917184	1.0258710	0.2165007	1.0610602	0.9040358	0.9481173	0.9523231	0.0476181
950	0.4358102	0.2672672	1.0501260	0.9211518	0.2076726	1.0768502	0.8264751	0.9566752	1.0420668	0.1103482
1000	0.4544369	0.3130382	0.9747152	0.9731267	0.1980625	1.0277496	0.9537860	0.9300505	1.0462882	0.1237362

0	0.5586783	0.3569097	1.0528587	0.9459913	0.1946093	0.9636150	0.8891602	1.0538271	1.0495853	0.0472618
50	0.5514819	0.4250150	0.9981027	0.8310931	0.1343021	0.4514468	0.8485525	1.0364414	0.7574487	0.5391643
