YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0796826	0.5341052	0.5644796	0.4120241	0.4944204	0.1326580	0.3114862	0.5458977	0.4123386	0.0639949
0.1474459	0.4028262	0.4080221	0.3024860	0.5402551	0.1805975	0.4405194	0.2033384	0.2847711	0.1768949
0.1054475	0.8754681	0.3492463	0.5860526	0.5984934	0.1314077	0.3258345	0.7087829	0.7707308	0.0274846
0.0790551	0.9650319	0.2520970	0.2270280	0.8337899	0.1256780	0.2029992	0.7721569	0.6763720	0.0183780
0.0991318	0.7775806	0.3881124	0.3310107	0.3427250	0.1138188	0.2897988	0.6758969	0.5957639	0.0450590
0.1055185	0.7285892	0.4985711	0.3986414	0.5297244	0.0803125	0.3085189	0.6061889	0.4719817	0.0154441
0.1248288	0.6443675	0.5699311	0.4084847	0.4993543	0.0944003	0.1447036	0.6315324	0.5365563	0.0166533
0.1021437	0.7057542	0.6019468	0.4009990	0.4057651	0.1988122	0.3801934	0.3528814	0.5695259	0.1308225
0.1318386	0.9322559	0.3232376	0.3257365	0.7192175	0.2185057	0.4830598	0.2168857	0.3586441	0.2932498
0.1224288	0.6981463	0.4474046	0.3682240	0.5106312	0.1292886	0.3187030	0.4398347	0.5859162	0.0502156
