YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000016	0.7059210	0.3831221	0.7263135	0.5400105	0.9989512	0.0156556	0.3734552	0.9254572	1.0000000
0.0935150	0.0000022	0.3830544	0.7264245	0.5397677	0.9982889	0.0211526	0.3748978	0.9254572	1.0000000
0.9556282	0.7843732	0.0000021	0.7492777	0.5008292	0.8986081	0.2633769	0.4824862	0.9254572	1.0000000
0.9461823	0.7394917	0.0732954	0.0000046	0.5008425	0.8986372	0.2633321	0.4824652	0.9254572	1.0000000
0.8965077	0.5972090	0.3783964	0.9999083	0.0000006	0.8987852	0.2630595	0.4823503	0.9254572	1.0000000
0.8962238	0.5972316	0.3776247	0.9945702	0.0391911	0.0000016	0.2630556	0.4823480	0.9254572	1.0000000
0.9383961	0.7081246	0.3831506	0.7259315	0.5404278	0.9999946	0.0000034	0.3707452	0.9254572	1.0000000
0.9549502	0.7795726	0.3636436	0.8728605	0.2978588	0.4949258	0.9939504	0.0000000	0.9254572	1.0000000
0.9548025	0.7786330	0.3416867	0.8045897	0.4097954	0.6990347	0.5896006	0.2540960	0.0000029	1.0000000
0.9546657	0.7778491	0.3411802	0.8025233	0.4130060	0.7054427	0.5789337	0.2592060	0.0629849	0.0000000
