YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.0136990	0.0383572	0.9367739	0.6996686	0.9787939	0.0304736	0.8773962	0.9646814	1.0585402
0.6261892	0.0000000	0.4178127	0.9110530	0.6942621	1.0247957	0.0494148	0.9540470	0.9556853	0.9732685
1.0420725	0.0170045	0.0000000	0.5440803	0.6451825	0.9695487	0.0437173	0.9071518	0.9614143	0.9950097
0.3013121	0.6613605	1.0689052	0.0000000	0.6332269	0.9210397	0.0393373	0.9666954	1.0891105	1.0810520
0.6459677	0.2907773	0.5145026	0.7140440	0.0000000	1.0166291	0.0419529	0.8605758	0.9466378	1.0345802
0.4904307	0.3667162	0.5307452	0.7691109	0.0382469	0.0000000	0.5525739	0.9002451	1.0327386	1.0823230
0.6030962	0.2609927	0.5312835	0.7872253	0.6482099	0.9510311	0.0000000	0.8889203	0.9709007	0.9794867
0.5604690	0.2851990	0.4848328	0.8555978	0.5946896	0.9034369	0.0251962	0.0000000	0.9742041	0.9530036
0.5512214	0.2354219	0.4626516	0.8136444	0.7216857	1.0267248	0.0501183	0.0815601	0.0000000	0.9956542
0.6120411	0.2137309	0.5005623	0.9257879	0.0351599	0.9660849	0.0272999	0.8324373	1.0476782	0.0000000
