YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0834469	0.0041052	0.8903864	0.3703950	0.7947714	0.4036393	0.0005939	0.3765222	0.6625663	0.4030837
0.2919959	0.0042815	0.8627109	0.2222320	0.5984540	1.0000000	0.0033181	0.3155727	0.6657018	0.3799495
0.4537308	0.0608103	0.3545728	0.6629986	0.4748620	0.8199040	0.0929188	0.3665523	0.6902884	0.5036170
0.1986759	0.0106136	0.5894866	0.5494492	0.6971346	0.9999989	0.0429407	0.3500326	0.7357295	0.5712388
0.3899688	0.0038478	0.9404750	0.3921542	0.8522659	0.5980992	0.0949656	0.2865587	0.4844572	0.3123591
0.5677428	0.0011890	0.8522529	0.4731391	0.7813205	0.9998994	0.0926284	0.3966313	0.6164629	0.4199725
0.5705562	0.0057454	0.7347072	0.5119242	0.7374952	0.9999816	0.0691783	0.3594839	0.7085152	0.4166080
0.0243963	0.0119184	0.5696479	0.5661303	0.6113978	0.9250461	0.0936504	0.3241715	0.8192902	0.5849647
0.0093713	0.0041933	0.8755591	0.4367095	0.8250916	1.0000000	0.0037102	0.3289607	0.6519502	0.4095445
0.0026372	0.0038612	0.9371881	0.3964960	0.7702541	1.0000000	0.0004426	0.4148553	0.5759120	0.3824227
