YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.0000000	0.5953869	0.5098782	0.0849392	0.1822126	0.3820745	0.9425727	0.3516021	0.1752228	1.1059139
1.0518934	0.0000000	0.3239763	0.1890793	0.1829813	0.4240103	0.9749976	0.2035065	1.0185243	0.1624641
0.1905295	0.9819281	0.0000000	0.0880765	0.2226336	0.4282007	0.9296297	0.3506212	1.0264368	0.0506390
0.8295417	0.2964443	1.0466927	0.0000000	0.2090434	0.4544854	0.9866225	0.2867272	0.9586323	0.2433788
0.8974456	0.2713044	0.9954926	0.0211032	0.0000000	1.0212759	0.2176267	1.0158265	0.9259339	0.2228001
0.7914679	0.2941584	0.9334116	0.0436155	0.1397839	0.0000000	0.7137818	0.5358607	0.8804928	0.2729006
0.1765902	0.9891843	0.0325126	0.8961273	0.5552455	1.0648696	0.0000000	0.0922846	0.9397381	0.1171051
0.7568870	0.4630812	0.5129294	0.1239554	0.1867715	0.4268937	0.9548980	0.0000000	0.8854398	0.3045500
0.4244334	0.5670694	0.7497341	0.0772265	0.1543086	0.4031976	0.9798472	0.4513086	0.0000000	0.4915922
0.6554770	0.4831295	0.4971950	0.1411994	0.2819468	0.4965098	0.9316479	0.2696207	0.9661664	0.0000000
