YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0000000	0.0038747	0.8851534	0.3940338	0.7757227	1.1165522	0.1217735	0.3822363	0.6590632	0.3589850
0.1290067	0.0000000	0.7514677	0.4848829	0.8614146	0.9734483	0.1074376	0.4009570	0.6615142	0.4438769
1.0090575	0.9805756	0.0000000	0.2753562	0.9796893	0.9742212	0.0926990	0.3270565	0.9264041	0.9342113
0.1248524	0.0025128	0.9711448	0.0000000	0.8273098	0.9798054	0.0939100	0.4502357	0.6437947	0.4334784
0.9115173	0.9491741	0.0761773	1.0053880	0.0000000	0.9836056	0.0997547	0.2942475	0.8320008	0.9293222
0.1186662	0.0085863	0.8698115	0.5797605	0.7401895	0.0000000	0.1080591	0.3454773	0.6260566	0.4434484
0.0971452	0.0069984	0.8110130	0.4988138	0.8542964	1.0056550	0.0000000	0.3744204	0.6967223	0.4600206
0.1304323	0.0033119	1.0013502	0.3663673	1.0339699	0.0489114	0.9954763	0.0000000	0.5038681	0.4154814
0.2541519	0.0446757	0.3353897	0.7316707	0.5040875	0.9782000	0.1044266	0.9499323	0.0000000	0.7604108
0.9114280	0.1142626	0.3756103	0.6754655	0.6194757	0.9717010	0.0963340	0.8930159	0.0285840	0.0000000
