"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
400	0.7391632	0.8993248	0.3597030	0.9491402	0.3179024	0.5335613	0.9742004	0.8832388	0.3535523	0.5251324
450	0.7398089	0.8995127	0.3597197	0.9489962	0.3182505	0.5341170	0.9745083	0.8834905	0.3527893	0.5251067
500	0.7401139	0.8995776	0.3597585	0.9488454	0.3185151	0.5344414	0.9746511	0.8835555	0.3524876	0.5250989
550	0.6633453	0.8914666	0.4234688	0.9487119	0.3186942	0.5346227	0.9747597	0.8413804	0.3809277	0.8544312
600	0.6317073	0.8697667	0.4446490	0.9486074	0.3188107	0.5346392	0.9731236	0.7593603	0.4481738	0.9553796
650	0.6122482	0.8501374	0.4517111	0.9485315	0.3188814	0.5339564	0.9688012	0.7279114	0.5016331	0.9863228
700	0.5972200	0.8378191	0.4540808	0.9484847	0.3188059	0.5322896	0.9645727	0.7295300	0.5323367	0.9958076
750	0.5861441	0.8313438	0.4548839	0.9484909	0.3184630	0.5302998	0.9625422	0.7382991	0.5475601	0.9987149
800	0.5788710	0.8282653	0.4551516	0.9485829	0.3179123	0.5288348	0.9624126	0.7452542	0.5544911	0.9996061
850	0.5745690	0.8268942	0.4552188	0.9487584	0.3173584	0.5281822	0.9630980	0.7493443	0.5574719	0.9998793
900	0.5722269	0.8263211	0.4551962	0.9489706	0.3169686	0.5281402	0.9638718	0.7514442	0.5587022	0.9999630
950	0.5710358	0.8261101	0.4551307	0.9491605	0.3167843	0.5283863	0.9644622	0.7524409	0.5591944	0.9999887
1000	0.5704699	0.8260620	0.4550524	0.9492910	0.3167560	0.5286900	0.9648406	0.7528924	0.5593865	0.9999965

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.5707275	0.8239475	0.4998194	0.3655460	0.6077292	0.4707143	0.4670113	0.4363068	0.6909530	1.0000000
100	0.5672922	0.7897071	0.6513405	0.1678947	0.7287282	0.3137859	0.3111018	0.3770160	0.7358663	1.0000000
150	0.5468068	0.6971533	0.8095406	0.0955592	0.8203010	0.1879646	0.2529540	0.3686590	0.7512122	1.0000000
200	0.4938633	0.5815404	0.9092526	0.0660666	0.8694002	0.1218801	0.2293418	0.3685822	0.7564555	1.0000000
250	0.4147702	0.4901866	0.9585231	0.0530606	0.8871212	0.0924699	0.2230689	0.3692282	0.7582470	1.0000000
300	0.3349372	0.4339492	0.9803302	0.0472676	0.8919626	0.0808325	0.2273361	0.3695887	0.7588592	1.0000000
350	0.2733438	0.4035045	0.9895493	0.0447768	0.8923644	0.0776082	0.2371714	0.3697254	0.7590683	1.0000000
400	0.2332518	0.3881254	0.9933863	0.0437834	0.8911793	0.0784711	0.2477236	0.3697638	0.7591398	1.0000000
450	0.2097554	0.3806754	0.9949765	0.0434538	0.8894178	0.0810572	0.2559484	0.3697691	0.7591642	1.0000000
500	0.1968829	0.3771693	0.9956307	0.0434103	0.8876386	0.0839053	0.2612723	0.3697665	0.7591725	1.0000000
550	0.1901626	0.3760034	0.9821463	0.3800903	0.5055349	0.1338028	0.7662497	0.6987166	0.6277263	1.0000000
600	0.1874980	0.3845008	0.9001546	0.6454588	0.2660334	0.2854801	0.9246118	0.7500735	0.5828140	1.0000000
650	0.1921975	0.4221445	0.7590395	0.8386545	0.2175410	0.4163115	0.9733534	0.7463038	0.5674686	1.0000000
700	0.2142431	0.4987394	0.6266445	0.9278576	0.2440575	0.4889827	0.9878006	0.7393462	0.5622254	1.0000000
750	0.2630632	0.5973347	0.5381265	0.9584624	0.2769507	0.5225110	0.9908601	0.7375241	0.5604339	1.0000000
800	0.3343954	0.6875986	0.4891663	0.9641246	0.2992003	0.5361006	0.9888440	0.7398743	0.5598218	1.0000000
