YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.1025052	0.0867940	0.2352379	0.7245990	0.0365019	0.3736420	0.7843578	0.0648657	0.5029899
0.8132277	0.0000000	0.0567418	0.1493359	0.9216318	0.0016938	0.3412496	0.5820177	0.0340137	0.5544269
0.6685356	0.0935176	0.0000000	0.1965437	0.7088208	0.0199291	0.3091108	0.7457160	0.0598492	0.5179581
0.6174198	0.4483265	0.8702628	0.0000000	0.7762776	0.0128286	0.5180217	0.6393571	0.0638319	0.6540444
0.7542251	0.0863329	0.0650032	0.7270368	0.0000000	0.0661826	0.3576698	0.7099968	0.0283422	0.5847452
0.7585866	0.0830520	0.1593165	0.2313007	0.6530719	0.0000000	0.3053051	0.6679455	0.0547175	0.3991973
0.7559552	0.1169030	0.1502926	0.2393892	0.8227266	0.0520981	0.0000000	0.7918025	0.0850207	0.3963684
0.7165074	0.0770860	0.1307546	0.2053113	0.6819205	0.0358729	0.3187712	0.0000000	0.0606550	0.4904467
0.5858452	0.0874836	0.1284648	0.1812669	0.8432313	0.0496011	0.2986983	0.9628050	0.0000000	0.4475664
0.6859400	0.0898387	0.0849828	0.6997373	0.1219354	0.7599316	0.3186221	0.9183293	0.0512462	0.0000000
