YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000026	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8908945	0.9834323	0.9999740	0.0620040
0.0001490	0.0000000	0.9998451	0.9904401	0.1898421	1.0000000	0.8908945	0.9834323	0.9999740	0.0620040
0.9061354	0.9999827	0.0000014	0.9904401	0.1898421	1.0000000	0.7983266	0.9834316	0.9999740	0.0620040
0.9061712	0.9999836	0.0186054	0.0000021	0.1898421	1.0000000	0.7982195	0.9834316	0.9999740	0.0620040
0.5214305	0.3202085	0.9998495	0.9999977	0.0000023	1.0000000	0.8913339	0.9834339	1.0000000	0.0003535
0.8789146	0.8615911	0.5311557	0.0564103	1.0000000	0.0000000	0.5458874	0.7028992	0.0198778	0.9686034
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.0000058	0.8276708	0.9999740	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.6451360	0.0000043	0.9999740	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8631321	0.7029746	0.0000020	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8908942	0.9834338	1.0000000	0.0000015
