YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0135404	0.6944329	0.4664066	1.0309708	1.1132186	0.7488065	0.5313129	0.8963948	0.5425951	0.4095769
0.1590992	0.4022718	0.5415591	1.1082249	1.0841974	0.8154650	0.5564953	0.8657672	0.6398666	0.3913251
0.0463525	0.5204541	0.2710219	1.0562377	0.9923514	0.7373940	0.5680985	0.8799352	0.5964143	0.4560070
0.0748224	0.4506031	0.1808504	0.4647667	1.0558383	0.7850811	0.7254276	0.9088530	0.8511546	0.4268120
0.0074320	0.7977584	0.5855524	1.0796592	0.4760349	0.6043743	0.5943023	0.8085819	0.5994823	0.4304003
0.0236382	0.7059349	0.4522289	1.0094442	1.0563197	0.3775707	0.3283093	0.9263625	0.5900731	0.4350518
0.0265695	0.6600515	0.4453533	1.0212593	1.0058098	0.8144129	0.2859955	0.8497647	0.5934986	0.4648384
0.0264539	0.7126954	0.5070491	0.9719497	0.9779043	0.5511282	0.8320359	0.4476724	0.4526773	0.6106449
0.0174269	0.6810993	0.5576693	0.9283821	0.9470916	0.6744907	0.5525400	0.8191357	0.2988433	0.4666690
0.0251095	0.7560152	0.5810777	1.0660237	1.0127002	0.6436730	0.5517114	0.9723166	0.7872766	0.2079687
