YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.1037613	0.0000000	0.5713998	0.0884584	0.9028693	0.0000000	0.4627313	0.7829317	0.4723398	0.6581570
0.0889793	0.0000000	0.0581297	0.7916051	0.0000000	0.4325853	0.4050396	0.8187037	0.1432777	0.9029060
0.0725433	0.0000000	0.5019011	0.0790278	0.7472677	0.0182502	0.0087791	0.0000000	0.3170106	0.7870017
0.0970851	0.0000000	0.2480633	0.1272771	0.5770258	0.3970402	0.3901278	0.7569050	0.0000000	0.9356140
0.0356470	0.0000000	0.3202259	0.1284770	0.5344705	0.4128578	0.5112710	0.8124181	0.5469177	0.0000000
0.0501868	0.0099649	0.0863718	0.6978940	0.0000000	0.0000000	0.4240035	0.9020716	0.1507607	0.7614433
0.0741960	0.0090854	0.0748127	0.7119067	0.0000000	0.0073094	0.0193589	0.0000000	0.1210887	0.7217134
0.0661658	0.0059848	0.0495212	0.7839563	0.0000000	0.5050560	0.4220154	0.6875841	0.3826237	0.0000000
0.0645455	0.0289699	0.1261713	0.1861092	0.6205267	0.0000000	0.0207277	0.0000000	0.1959888	0.7601454
0.0929574	0.0845373	0.2990741	0.0748625	0.5911582	0.0000000	0.4329861	0.7897200	0.5673151	0.0000000
