YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.4915472	0.8402575	0.1178020	0.0957333	0.1277807	0.2536427	0.9984725	0.9108183	0.2323922	0.9990410
0.7706364	0.4201396	0.1178020	0.0957332	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.9893717	0.9462683	0.0590059	0.0957333	0.1277807	0.2536427	0.9984726	0.9108355	0.2323554	0.9999074
0.9829119	0.8402577	0.1178020	0.0478893	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.9896084	0.9497347	0.0567980	0.0802852	0.0638979	0.2536427	0.9984726	0.9108391	0.2323531	0.9999234
0.9874472	0.9073950	0.0823936	0.0861071	0.0926029	0.1268213	0.9984726	0.9108333	0.2323628	0.9997195
0.7308446	0.3984125	0.4059709	0.2740548	0.4514804	0.8008877	0.4992299	0.9089745	0.2357427	0.9322029
0.9825054	0.8347668	0.1207867	0.0965830	0.1306916	0.2613492	0.9729570	0.4554134	0.2323950	0.9989634
0.9829132	0.8402858	0.1177792	0.0957280	0.1277529	0.2535507	0.9988110	0.9680034	0.1162250	0.9990413
0.9906892	0.9751277	0.0376224	0.0957382	0.1278056	0.2537243	0.9981691	0.8713454	0.3020860	0.5000099
