YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000000	0.1118285	0.2843647	0.5191526	0.8422717	0.8697923	0.6377349	0.6493854	0.7741241	0.8941924
0.0344986	0.0000000	0.2307390	0.5166200	0.8869786	0.9462745	0.6316308	0.7677677	1.0092672	1.1162933
0.0759766	0.0483719	0.0000000	0.5397093	0.9330288	0.9147969	0.6924909	0.6895688	0.8729703	1.1610262
0.1161048	0.0477330	0.0053366	0.0000000	0.9091893	0.8890880	0.7186178	0.7049673	0.8040790	1.0115856
0.4288015	0.2918006	0.6361475	1.0305471	0.0000000	0.8957387	0.5882867	0.7908792	0.9212969	0.9789170
0.1011548	0.0308371	0.0026471	0.0026013	0.0197402	0.0000000	0.6135941	0.7168545	0.8665976	0.9747998
0.1132246	0.0595543	0.2915180	0.4412910	0.2422259	0.0758478	0.0000000	0.7825245	0.8668505	1.0230938
0.2385459	0.1255720	0.2426957	0.4985448	0.9491569	0.9050683	0.9497494	0.0000000	0.8792544	1.0104305
0.1908238	0.1021065	0.2099082	0.5153351	0.9023871	0.8713259	0.8809597	0.0366053	0.0000000	0.9636027
0.1651794	0.1205355	0.2450265	0.4904177	0.8922912	0.9196629	0.9346993	0.0400894	0.0798440	0.0000000
