YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.5529699	0.5561551	0.9748143	0.3226299	0.3998222	0.6442246	0.6635098	0.1196364	0.9257853	0.0183062
0.9822159	0.4422547	0.9590948	0.3734942	0.3550199	0.6634488	0.6511273	0.1090420	0.8735125	0.0198805
1.1181765	0.6394424	0.4101775	0.4628523	0.3637572	0.7011294	0.7285294	0.0986461	1.0091832	0.1268231
1.0707462	0.9861692	1.0358948	0.1948043	0.4115274	0.6094554	0.6332590	0.1473168	1.0374299	0.0423717
0.9670686	0.8006099	0.5942666	0.8520844	0.2557901	0.8877077	0.8185945	0.0511546	1.1215047	0.0766141
1.0066186	0.7405782	0.5607591	1.0062378	0.1785337	0.3657932	0.8109826	0.0332790	1.0820076	0.1574117
1.1535733	0.9604935	1.1058344	0.1121526	0.6376379	0.9278554	0.2321746	0.2681850	1.0704492	0.0424786
0.9874007	0.9896610	0.8999126	0.5822119	0.3911673	0.6863612	0.7665558	0.0498930	0.9112396	0.0172327
0.9736614	0.9333544	0.8720822	0.4587746	0.4031910	0.6098819	0.8831103	0.0524966	0.4403018	0.0509876
1.0381002	0.8709727	0.9985745	0.3748841	0.4328287	0.6928341	0.5645917	0.1131642	1.0809610	0.0235981
