YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0653159	0.7329704	0.9979979	0.9970844	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.3029338	0.3662309	0.9950069	0.9970857	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.1895593	0.5737231	0.4986215	0.9970860	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.1326392	0.7261178	0.9645357	0.4987496	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.1306493	0.7328941	0.9975927	0.9522234	0.5000235	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.1308043	0.7329705	0.9979980	0.9970859	1.0000000	0.5002484	0.0591004	1.0000000	1.0000000	1.0000000
0.1306285	0.7329704	0.9979979	0.9970853	1.0000000	1.0000000	0.0295599	1.0000000	1.0000000	1.0000000
0.1306285	0.7329705	0.9979980	0.9970860	1.0000000	1.0000000	0.2029431	0.5000086	1.0000000	1.0000000
0.1306285	0.7329704	0.9979979	0.9970853	1.0000000	1.0000000	0.0591004	1.0000000	0.5000332	1.0000000
0.1306285	0.7329705	0.9979980	0.9970859	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	0.5002220
