"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.1590924	0.0602602	0.1710613	0.4193928	0.6178668	0.6690156	0.4857931	0.4439871	0.5847571	0.6738514
50	0.1036020	0.0527940	0.1822936	0.4163205	0.7457205	0.6202460	0.5601484	0.5428867	0.7104546	0.4903995
100	0.0529364	0.0478702	0.1902834	0.3769202	0.7903366	0.7286495	0.5254849	0.5250053	0.3369032	0.3947789
150	0.1107811	0.0758474	0.1081855	0.3330881	0.6650609	0.6095484	0.5197395	0.3562023	0.1972711	0.3572445
200	0.1141467	0.0514592	0.1370035	0.2979572	0.8542966	0.6254937	0.5210023	0.2049440	0.1225422	0.4108690
250	0.1503006	0.0655738	0.1470883	0.3292715	0.7399922	0.5491586	0.4972051	0.1520908	0.1529380	0.4340429
300	0.2347423	0.0736354	0.2191033	0.2989410	0.7311622	0.6320755	0.5961358	0.1251588	0.1084896	0.4822369
350	0.1135946	0.0695815	0.1561610	0.3198047	0.7241984	0.6000243	0.6990637	0.0587685	0.0860812	0.3805132
400	0.0907873	0.0451215	0.1172758	0.4042219	0.7110065	0.5701475	0.8034518	0.0804371	0.0351317	0.3458888
450	0.2130397	0.0984458	0.2105958	0.3721122	0.7370277	0.7747844	0.6888821	0.0461518	0.0394301	0.2957321
500	0.1574825	0.0647320	0.2011112	0.3227061	0.6473850	0.7432303	0.6504610	0.0728489	0.0557431	0.2671993
550	0.1608201	0.0816949	0.1840679	0.3629896	0.7646251	0.7606801	0.6543085	0.0489960	0.0705968	0.5994432
600	0.1543246	0.0719375	0.1073371	0.4131308	0.8370494	0.9932959	0.8937251	0.0695199	0.2651855	0.7583319
650	0.1516189	0.0578419	0.1440599	0.3229506	0.7335161	0.8063429	0.7358004	0.1370184	0.4645370	0.7963476
700	0.1609003	0.0662901	0.1434202	0.3788866	0.6625522	0.8960569	0.7662968	0.1774229	0.5169290	0.8053913
