"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C

0	0.5855330	0.4444357	0.6503027	0.1029710	0.2012302	0.4367756	0.9265567	0.2747077	0.8169744	0.3508151
50	0.4505307	0.4715187	0.4014337	0.1029321	0.2012123	0.4367688	0.9265143	0.2747763	0.7649022	0.3674314
100	0.3906929	0.5583646	0.3289382	0.1029028	0.2012026	0.4367756	0.9264675	0.2748326	0.7290834	0.4141219
150	0.3249906	0.6512054	0.3078528	0.1028850	0.2012000	0.4367904	0.9264260	0.2748711	0.6802492	0.4696656
200	0.2580347	0.7169116	0.3017366	0.1028781	0.2012027	0.4368079	0.9263952	0.2748909	0.6137542	0.5355845
250	0.2067974	0.7547630	0.2999654	0.1028796	0.2012084	0.4368243	0.9263770	0.2748946	0.5316887	0.6112298
300	0.1741038	0.7741781	0.2994459	0.1028866	0.2012152	0.4368370	0.9263703	0.2748869	0.4426901	0.6838719
350	0.1552487	0.7834419	0.2992815	0.1028960	0.2012216	0.4368451	0.9263726	0.2748730	0.3612933	0.7415704
400	0.1450057	0.7876557	0.2992163	0.1029054	0.2012265	0.4368487	0.9263805	0.2748572	0.2976180	0.7811685
450	0.1396638	0.7895138	0.2991802	0.1029132	0.2012296	0.4368486	0.9263909	0.2748429	0.2532018	0.8057362
500	0.1369651	0.7903203	0.2991555	0.1029185	0.2012310	0.4368461	0.9264010	0.2748321	0.2245387	0.8199650
550	0.2245478	0.7513960	0.5483288	0.1029213	0.2012309	0.4368423	0.9264092	0.2748255	0.2238905	0.8115478
600	0.2629213	0.6466886	0.6209733	0.1029218	0.2012299	0.4368385	0.9264148	0.2748229	0.2279902	0.7656594
650	0.3107474	0.5555181	0.6421532	0.1029208	0.2012285	0.4368351	0.9264176	0.2748234	0.2474246	0.7096798
700	0.3755075	0.4995783	0.6483331	0.1029189	0.2012270	0.4368328	0.9264180	0.2748260	0.2835577	0.6456544
750	0.4429279	0.4700579	0.6501424	0.1029168	0.2012257	0.4368314	0.9264168	0.2748294	0.3383768	0.5736950
800	0.4982697	0.4557107	0.6506785	0.1029148	0.2012248	0.4368311	0.9264147	0.2748329	0.4138229	0.5046235
850	0.5363708	0.4490963	0.6508424	0.1029133	0.2012243	0.4368314	0.9264123	0.2748357	0.5035325	0.4489185
900	0.5595484	0.4461580	0.6508959	0.1029124	0.2012241	0.4368321	0.9264102	0.2748377	0.5926255	0.4096349
950	0.5724708	0.4448878	0.6509150	0.1029120	0.2012243	0.4368330	0.9264086	0.2748387	0.6675599	0.3844431
1000	0.5792360	0.4443497	0.6509220	0.1029121	0.2012245	0.4368338	0.9264077	0.2748390	0.7229536	0.3693624

0	0.5855330	0.4444357	0.6503027	0.1029710	0.2012302	0.4367756	0.9265567	0.2747077	0.8169744	0.3508151
50	0.5824883	0.4782897	0.3435862	0.1061403	0.2012063	0.4363655	0.9422297	0.1728889	0.7954064	0.4404389
100	0.5469100	0.5901069	0.2515609	0.1067664	0.2009496	0.4324055	0.9698510	0.1331808	0.7359608	0.4700853
150	0.4625666	0.7105768	0.2238770	0.1063995	0.1997529	0.4249662	0.9850466	0.1180424	0.6792863	0.4893511
200	0.3702662	0.7942645	0.2164973	0.1047368	0.1974350	0.4176248	0.9912215	0.1133471	0.6326826	0.5215550
250	0.3025610	0.8407843	0.2168552	0.1017287	0.1946399	0.4122976	0.9934063	0.1136936	0.5826710	0.5700028
300	0.2618376	0.8627222	0.2211475	0.0980777	0.1920944	0.4090597	0.9939506	0.1165071	0.5216527	0.6239206
