YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0244137	0.7205234	0.1310629	0.1419929	0.5572658	0.2809278	0.6724311	0.1481001	0.3133431	0.7552328
0.2020124	0.3975335	0.3525152	0.5641900	0.4788741	0.3849398	0.7062985	0.1891761	0.2014114	0.7434958
0.0174388	0.7158979	0.1794738	0.3202850	0.5821601	0.3055976	0.7243195	0.2358045	0.4682763	0.7701623
0.0221178	0.8090760	0.1853611	0.1738644	0.4848961	0.2282747	0.7986454	0.2267164	0.3772386	0.7476162
0.0429487	0.7151246	0.2215890	0.4334465	0.2700652	0.3768891	0.7879481	0.2069818	0.4445064	0.7662786
0.0309933	0.6914798	0.2787618	0.4230943	0.2350436	0.0991551	0.7060360	0.2665988	0.4263266	0.8238568
0.0414901	0.7549304	0.3048362	0.4142742	0.6789610	0.5315320	0.3481220	0.2213220	0.4342648	0.6801112
0.0169378	0.8110075	0.3152955	0.2759755	0.5226505	0.2904627	0.8022705	0.1220065	0.4236292	0.7391518
0.0144340	0.6953349	0.2319284	0.2955746	0.4974716	0.2810764	0.8139069	0.2167151	0.2605184	0.7064770
0.0090882	0.8132271	0.1697344	0.2483418	0.5164925	0.2084257	0.6243591	0.2427747	0.4020917	0.3486885
