"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1564046	0.0936879	0.1033807	0.1601482	0.1328565	0.4500870	0.0304940	0.0076115	0.6717446	0.7738995
50	0.0780493	0.0482975	0.0372049	0.0722571	0.5117015	0.3970751	0.0372443	0.0138884	0.6595051	0.7103907
100	0.0532465	0.0937112	0.0250255	0.0923151	0.6560828	0.4152026	0.0314778	0.0021193	0.7102126	0.7134947
150	0.1351666	0.0858721	0.0245091	0.0789337	0.5151577	0.4340178	0.0351866	0.0031207	0.6774233	0.9337289
200	0.1729558	0.1068583	0.0768012	0.0747959	0.7601159	0.4438264	0.0704568	0.0000000	0.6455396	0.7275568
250	0.0687091	0.0870980	0.0197039	0.1201474	0.5877921	0.3415494	0.0278911	0.0041379	0.6593473	0.6295815
300	0.1062374	0.0597590	0.0321622	0.0723784	0.6460554	0.3927455	0.0746686	0.0007205	0.6883904	0.6296918
350	0.0631948	0.0972548	0.0244614	0.0875964	0.8086940	0.4353934	0.0281940	0.0006676	0.7161851	0.8532890
400	0.0557584	0.0876154	0.0061615	0.0428856	0.6005963	0.5263801	0.0449190	0.0062730	0.6186522	0.7963653
450	0.0639256	0.0753144	0.0233918	0.0702974	0.6532091	0.4028063	0.0497483	0.0076256	0.7532718	0.7763244
500	0.0636236	0.0676357	0.0104284	0.0716413	0.7000306	0.4490960	0.0486560	0.0043164	0.7969551	0.7598837
550	0.0790770	0.0493740	0.0111995	0.0934452	0.3211263	0.4410834	0.0391160	0.0066515	0.6971685	0.8743349
600	0.1183107	0.0544923	0.0297754	0.1050031	0.1468594	0.4658229	0.0523848	0.0183036	0.6738515	0.5735467
650	0.1059133	0.1061716	0.0129592	0.1218137	0.1598563	0.3468098	0.0478496	0.0150484	0.7633391	0.7851707
700	0.0747304	0.0389903	0.0298706	0.1035474	0.1649813	0.3970996	0.0299845	0.0018405	0.6381376	0.7511677
750	0.0872140	0.0333658	0.1175189	0.1298773	0.1971047	0.4818301	0.0334332	0.0128646	0.6438560	0.7092114
800	0.1095440	0.0388999	0.0707727	0.1596812	0.1649966	0.3889022	0.0276651	0.0058455	0.7987544	0.8853742
850	0.1403111	0.0643338	0.0890016	0.0867387	0.1567019	0.4256672	0.0208603	0.0050518	0.6322289	0.6820452
900	0.1366216	0.0744161	0.0760134	0.1614914	0.2084493	0.4293063	0.0643182	0.0059724	0.5756514	0.6470897
950	0.0970488	0.0811624	0.0424254	0.1914172	0.2010861	0.4367334	0.0418889	0.0119455	0.7004344	0.5679155
1000	0.0787320	0.0429224	0.0889248	0.2295728	0.1604758	0.3484629	0.0508171	0.0102447	0.6285427	0.8044822

0	0.0683955	0.0475045	0.0676279	0.1469402	0.1255170	0.4817921	0.0577237	0.0010905	0.6922006	0.7103078
50	0.4901989	0.0625883	0.0781378	0.1312652	0.1243371	0.6582550	0.0732896	0.0023613	0.4837992	0.6779561
100	0.6827978	0.0172013	0.0991701	0.1191347	0.2880428	0.5965376	0.0312650	0.0181018	0.4927203	0.6464595
150	0.5574484	0.0526821	0.0764708	0.1826381	0.3589241	0.7308123	0.0431360	0.0403417	0.4324650	0.7587212
200	0.4744158	0.0276911	0.1145963	0.1532721	0.4036801	0.6652963	0.0450814	0.1716467	0.3323984	0.7008523
250	0.4975265	0.0578522	0.0551592	0.1169132	0.3548349	0.7697089	0.0511257	0.1543954	0.4393997	0.6375420
300	0.6434066	0.0419133	0.0106680	0.0856621	0.4354261	0.7079311	0.0500790	0.1930635	0.3809032	0.9341309
350	0.5795468	0.0309806	0.0125308	0.0921019	0.3959184	0.6436090	0.0513111	0.1362001	0.4117056	0.7459173
400	0.5634206	0.0360875	0.0298171	0.0789952	0.4189995	0.8236004	0.0410076	0.1650115	0.4359183	0.8918926
450	0.5159867	0.1019828	0.0182778	0.1373452	0.3767356	0.6390872	0.0332485	0.0987083	0.2956404	0.6670655
500	0.4870207	0.0614717	0.0258530	0.1294002	0.3812978	0.6160680	0.0678745	0.1012300	0.3728817	0.6946128
550	0.2245336	0.0417574	0.0225287	0.1288765	0.3547201	0.5790864	0.0288778	0.0832311	0.5803703	0.6316811
600	0.1483905	0.0437951	0.0146781	0.0656305	0.4486263	0.5921403	0.0735550	0.0640983	0.6604684	0.7641767
650	0.0895756	0.1075178	0.0277173	0.0993824	0.3134761	0.5938484	0.0568234	0.0789340	0.6472937	0.6551134
700	0.0585748	0.0589176	0.0426064	0.1060022	0.1595063	0.5554016	0.0382867	0.0043799	0.7743229	0.7083990
750	0.1331823	0.0638931	0.0629150	0.0987892	0.2312160	0.3761301	0.0629477	0.0088681	0.7235810	0.7320791
800	0.1258198	0.0642724	0.0975858	0.0772564	0.1263152	0.3913592	0.0709080	0.0098312	0.7376123	0.7669388
850	0.1004706	0.0582779	0.0549558	0.1352025	0.1495399	0.4002703	0.0420952	0.0056261	0.7622734	0.6840734
900	0.1464476	0.0349306	0.0748261	0.1389324	0.1646780	0.4502000	0.0757218	0.0005497	0.6979511	0.7137275
950	0.0831857	0.0455382	0.0730227	0.1226550	0.1510400	0.4649318	0.0261108	0.0065066	0.5475538	0.7368832
1000	0.2051077	0.0418210	0.0866121	0.1583674	0.1269816	0.3907543	0.0526645	0.0150961	0.6274032	0.8434307

0	0.1034945	0.0520560	0.0761148	0.1670484	0.1248080	0.4923406	0.0637379	0.0085971	0.7002218	0.8316323
50	0.4982105	0.0549435	0.1158545	0.1163844	0.2482248	0.4571198	0.0747138	0.1175561	0.5885064	0.8066943
100	0.5774899	0.0421256	0.0750220	0.1326056	0.1447187	0.4296163	0.0759252	0.1370805	0.6468640	0.6349487
150	0.6804465	0.0265304	0.1048249	0.1235118	0.1570423	0.3542878	0.0366234	0.1339960	0.7941083	0.7816895
200	0.6506478	0.0801796	0.0461329	0.1115613	0.1916353	0.4442180	0.0309206	0.2159300	0.7717172	0.8075520
250	0.6684923	0.0528268	0.1086539	0.1399339	0.1623182	0.4702508	0.0377859	0.1701617	0.5831212	0.5871921
300	0.6428829	0.0641336	0.0958054	0.1540692	0.1450456	0.3789594	0.0336193	0.1696263	0.6366184	0.6890209
350	0.7923124	0.0339246	0.0722844	0.1422009	0.1745880	0.4606300	0.0405183	0.1285518	0.6989960	0.7384094
400	0.9142477	0.1009355	0.0477021	0.1345840	0.1363442	0.4243978	0.0403343	0.1440534	0.6646623	0.6916713
450	0.7435975	0.0301792	0.0372663	0.1191397	0.1599879	0.3631413	0.0660325	0.1736559	0.6739386	0.6677218
500	0.7214567	0.0682415	0.0395974	0.0745508	0.1509848	0.4127609	0.0352452	0.1017107	0.6147758	0.7878783
550	0.2488923	0.0379429	0.0519794	0.1242994	0.1059044	0.4644977	0.0444848	0.0367415	0.5613909	0.6633053
600	0.1394000	0.0981951	0.1817565	0.1461524	0.1529227	0.3882127	0.0568236	0.0602081	0.6234721	0.6430286
650	0.1509688	0.0701725	0.1262508	0.1534285	0.1343992	0.3733851	0.0664954	0.0254849	0.6558624	0.6494744
700	0.1687505	0.0556425	0.2356565	0.2246322	0.0997984	0.4905058	0.0634202	0.0233970	0.6102739	0.7101215
750	0.1494293	0.0479968	0.1434549	0.1147571	0.1514611	0.3850326	0.0454515	0.0011424	0.6840891	0.7833458
