YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.2959459	0.9321821	0.1711816	0.3127584	0.3412140	0.8848453	0.4393503	0.7241221	0.9510718	0.9243427
0.0806443	0.9946990	0.0039243	0.0563636	0.3274492	0.9713008	0.3252163	0.3878491	0.8050361	0.8503341
0.2793084	1.0324171	0.0027859	0.1068498	0.2889249	1.0268255	0.0016988	0.0031318	0.9366425	0.9351010
0.4252782	0.6774106	0.0395586	0.2660771	0.3524302	0.7841930	0.0402885	0.1262738	0.7100800	0.6253463
0.4245456	1.0410362	0.0370378	0.3341615	0.3905701	0.8161989	0.5621499	0.9358766	0.9125411	0.9074142
0.0033286	1.0471650	0.2140210	0.0027999	0.1526645	1.0817823	0.2256297	0.1347330	0.8797460	0.8881158
0.0476278	0.9885267	0.5472239	0.1024932	0.0137996	1.0292807	0.3393475	0.4792958	0.8149388	0.9939161
0.1442217	0.9204746	0.4158067	0.1854672	0.2420800	0.8786417	0.5839121	0.3822542	0.5963458	0.3934875
0.6675815	0.9357300	0.0611495	0.3536382	0.4658606	0.8937149	0.0604140	0.1224243	0.7985248	0.7300574
0.0397909	0.7709501	0.0919761	0.4400569	0.2260619	1.0142068	0.0971261	0.0073896	0.9023521	0.9521177
