YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0435021	0.0007248	0.7521216	0.5019560	0.7250838	1.0243206	0.0726547	0.4393859	0.6265117	0.3986422
0.1234701	0.0044355	0.8459662	0.5152466	0.8264963	0.9858127	0.0896054	0.3502741	0.6588707	0.4388792
0.2934105	0.0353697	0.4333067	0.4512103	0.8261480	1.0583783	0.1083733	0.3438623	0.8302421	0.6966496
0.1162550	0.0067469	0.9842401	0.2987672	0.7858024	0.9725796	0.0905216	0.4470550	0.5857967	0.4214680
1.0193595	0.7224479	0.1609055	0.8838904	0.4487993	0.9781561	0.1137467	0.3332937	0.9609693	0.9034300
0.1116626	0.0159521	0.8604286	0.4933913	0.7571630	0.5028280	0.0739850	0.4437681	0.5960535	0.4059198
0.1294985	0.0092880	0.7721641	0.4067302	0.9100323	1.0173240	0.0394670	0.4145360	0.7313614	0.4266757
0.1443377	0.0029997	0.9208791	0.3927353	0.9356952	1.0312588	0.1245955	0.1775813	0.5723633	0.3636406
0.1361165	0.0090811	0.7485904	0.6363386	0.7185749	0.9241296	0.0868856	0.5498516	0.3683372	0.5121718
0.0859389	0.0058108	0.7326725	0.5541344	0.6431918	1.1040648	0.0883507	0.5812872	0.4286068	0.2739159
