YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.4920401	0.5357366	0.7904699	0.6903133	0.2287939	0.1287834	0.2873245	0.9559132	0.6820683	1.1183222
0.5852504	0.2601082	0.8246462	0.4765759	0.4348777	0.0775683	0.2708830	0.9869594	0.7659186	0.9745087
0.8328952	0.2615202	0.3357762	0.6246843	0.1837576	0.0364519	0.3260334	0.8925233	0.5772560	1.0202092
0.9396835	0.4898463	0.7603649	0.3957867	0.1735657	0.0646505	0.3245072	0.9357791	0.6006349	1.0476060
0.9831952	0.5151126	0.7717445	0.7532544	0.1557283	0.0873316	0.2967117	0.8892284	0.5001355	1.0492899
0.9920973	0.5562614	0.7728058	0.7854018	0.1894619	0.0998328	0.3374620	0.8980495	0.5325565	1.0266173
0.9844133	0.6031691	0.8000584	0.7527131	0.0784575	0.0273811	0.1596159	0.8672078	0.4744940	1.0347282
1.0322043	0.3886325	0.4959502	0.4922337	0.8185123	0.2921725	0.8192667	0.4782913	0.9695873	1.0079858
0.9334701	0.5805611	0.7645868	0.6159746	0.4413299	0.0997510	0.2846627	0.9101995	0.5069267	1.0418661
0.9876456	0.4960534	0.5854899	0.5406990	0.8106712	0.4940028	0.6286680	0.5828641	0.7770378	0.5075676
