"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.3258129	0.5788804	0.3244689	0.6182707	0.2137091	0.3980578	0.4611021	0.2972023	0.4682766	0.7636150
50	0.2141081	0.7690060	0.3589372	0.6411441	0.2388234	0.2034258	0.2749238	0.3243486	0.3962749	0.5895011
100	0.1489296	0.6731197	0.3089258	0.6158503	0.2202537	0.1282428	0.2043137	0.2358216	0.3147443	0.6130924
150	0.1427346	0.6382429	0.2948912	0.5616395	0.1644260	0.0360157	0.1513501	0.2426058	0.3910978	0.4809710
200	0.1300073	0.7589135	0.3461032	0.5685342	0.0650669	0.0208657	0.1218108	0.1854316	0.2616448	0.5669504
250	0.1356814	0.6751066	0.2961557	0.6601802	0.0467413	0.0059483	0.0927056	0.2621310	0.3403791	0.5299779
300	0.1217688	0.7957231	0.2625806	0.8392357	0.0726209	0.0126987	0.1121491	0.2725033	0.3312322	0.6800752
350	0.1334281	0.8156497	0.2337832	0.8088831	0.0114007	0.0271535	0.0549169	0.3666429	0.2978464	0.4869348
400	0.1216676	0.7602838	0.2543797	0.6899195	0.0137452	0.0089812	0.1015351	0.3708203	0.2608495	0.5242291
450	0.1206029	0.8329555	0.1637161	0.7906902	0.0157809	0.0102904	0.0771138	0.3022844	0.2019506	0.4488266
500	0.1115273	0.6083832	0.2219472	0.8963914	0.0248084	0.0026626	0.0527328	0.3345452	0.3155829	0.6331420
550	0.2149411	0.8114762	0.1552815	0.7756213	0.0435664	0.2197284	0.3544596	0.3554051	0.3017983	0.5532938
600	0.3042400	0.7314221	0.1199756	0.6565947	0.1232030	0.3744820	0.4602881	0.3518061	0.3094816	0.5729849
650	0.3703216	0.7342049	0.1916991	0.7866261	0.1527009	0.4130629	0.4738663	0.3743830	0.3764710	0.6669423
700	0.2741310	0.7576239	0.1969891	0.8486102	0.1490706	0.4346343	0.5288637	0.2981658	0.3727691	0.7447008
750	0.3883292	0.6750641	0.2056004	0.7390009	0.2050968	0.3621192	0.5258226	0.3212210	0.4662847	0.7533868
800	0.3962412	0.7232561	0.2590580	0.6747184	0.2193784	0.3389315	0.4202229	0.2944546	0.3947698	0.7618531
850	0.3680814	0.7908290	0.2360587	0.6264559	0.1616689	0.3541804	0.4706389	0.2795332	0.5286397	0.8571947
900	0.4456222	0.7331267	0.2277057	0.5548009	0.1909371	0.4851049	0.4618202	0.3499756	0.4274865	0.7102943
950	0.3899267	0.7430973	0.3391843	0.6458681	0.2082639	0.3941217	0.4100278	0.3168032	0.4268223	0.6787660
1000	0.3978307	0.9074173	0.3484038	0.6783137	0.1929297	0.3933048	0.4461686	0.2729575	0.4038747	0.8001216

0	0.3538282	0.7113811	0.3348811	0.7539680	0.1672599	0.3792585	0.4538049	0.3460004	0.5171409	0.8277651
50	0.3676620	0.5389721	0.2301705	0.5819037	0.3040639	0.3206865	0.4454604	0.2995001	0.6191864	0.8701583
100	0.5854815	0.3466637	0.1055262	0.5027565	0.4479501	0.4239742	0.4254108	0.2000264	0.7087476	0.8207679
