YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.3422936	0.5690467	0.5601398	0.2534245	0.2581263	0.3159648	0.2559960	0.3538723	0.1959270	0.8324969
0.5613057	0.7803341	0.2519032	0.0785724	0.5548975	0.5423365	0.4962249	0.6969556	0.3952656	0.5810758
0.0879702	0.6640261	0.6202180	0.2249799	0.3090646	0.5058379	0.3854599	1.1207646	0.3416950	0.6351465
0.0210230	0.7321033	0.4343246	0.1734117	0.3232099	0.4653340	0.4256563	0.7001946	0.5380431	0.7448896
0.3690596	0.6880181	0.6605859	0.2453165	0.2945115	0.4564727	0.4350832	0.5361307	0.2853040	0.4255304
0.4348952	0.7791346	0.4098899	0.0302223	0.5575574	0.5597636	0.3807279	0.5150248	0.4296127	0.8055058
0.2469167	0.8561137	0.4566726	0.1019786	0.4482362	0.5902514	0.4876246	0.6586269	0.4856098	0.8042801
0.3384942	0.6059860	0.2983778	0.0522978	0.4041206	0.4470176	0.4760530	0.7074741	0.4501832	0.8990119
0.0527224	0.7477082	0.7319245	0.1422733	0.3074560	0.4863341	0.3031818	0.8133065	0.3560326	0.6234081
0.2184946	0.6068676	0.3627621	0.0840856	0.4304893	0.4641645	0.4657736	0.6639934	0.3334025	0.4331550
