"Time"	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C

0	0.0767226	0.9999516	0.0145101	0.1002312	0.2574553	0.9994224	0.0523897	0.0552211	0.8692724	1.0000000
50	0.2223241	0.7729956	0.0145044	0.0967211	0.2526070	0.9946126	0.4683158	0.0626152	0.8692724	1.0000000
100	0.2752679	0.7171100	0.0144708	0.0941324	0.2601842	0.9529681	0.6312616	0.3478713	0.8692724	1.0000000
150	0.3009336	0.7033491	0.0144453	0.1030447	0.2820700	0.8767815	0.6945246	0.7260061	0.8692724	1.0000000
200	0.3297338	0.6999445	0.0145445	0.1336385	0.3184198	0.8070242	0.7188656	0.8905498	0.8692724	1.0000000
250	0.3814584	0.6989993	0.0151166	0.1947029	0.3601033	0.7604294	0.7283127	0.9498592	0.8692724	1.0000000
300	0.4587869	0.6980680	0.0173820	0.2765313	0.3964899	0.7337111	0.7319950	0.9708272	0.8692724	1.0000000
350	0.5423715	0.6944642	0.0240159	0.3537694	0.4229712	0.7195859	0.7334434	0.9784283	0.8692724	1.0000000
400	0.6123444	0.6841098	0.0371310	0.4102992	0.4404351	0.7124636	0.7340465	0.9813050	0.8692724	1.0000000
450	0.6626432	0.6662226	0.0549960	0.4452249	0.4518882	0.7089690	0.7343647	0.9824487	0.8692724	1.0000000
500	0.6966624	0.6458340	0.0731201	0.4643533	0.4600921	0.7072641	0.7346199	0.9829282	0.8692724	1.0000000
550	0.6700723	0.8471130	0.0887663	0.4975178	0.4711766	0.7448124	0.3168808	0.9720193	0.8692724	1.0000000
600	0.6625123	0.8739436	0.1065201	0.5250648	0.4531295	0.8500486	0.1538656	0.8376264	0.8692724	1.0000000
650	0.6155219	0.8653101	0.1213733	0.4921142	0.4135138	0.9342997	0.0921274	0.4387323	0.8692724	1.0000000
700	0.5096933	0.8837525	0.1174002	0.4011098	0.3654693	0.9750425	0.0779449	0.1808835	0.8692724	1.0000000
750	0.3721103	0.9315310	0.0917397	0.2920571	0.3242106	0.9902629	0.0976106	0.0931363	0.8692724	1.0000000
800	0.2529524	0.9715939	0.0606222	0.2068567	0.2954539	0.9947690	0.1179381	0.0672072	0.8692724	1.0000000
850	0.1734797	0.9904496	0.0380939	0.1553123	0.2780736	0.9956357	0.1128429	0.0600598	0.8692724	1.0000000
900	0.1277010	0.9970427	0.0256167	0.1281352	0.2686543	0.9960249	0.0949417	0.0578624	0.8692724	1.0000000
950	0.1033408	0.9990739	0.0195588	0.1147290	0.2638353	0.9967865	0.0780929	0.0566930	0.8692724	1.0000000
1000	0.0908693	0.9996766	0.0167870	0.1082119	0.2613127	0.9976639	0.0665918	0.0559548	0.8692724	1.0000000

0	0.0767226	0.9999516	0.0145101	0.1002312	0.2574553	0.9994224	0.0523897	0.0552211	0.8692724	1.0000000
50	0.3630536	0.9472417	0.0152462	0.2341600	0.2553938	0.9994237	0.0524097	0.0552209	0.8692724	1.0000000
100	0.4673307	0.9330403	0.0184788	0.2544369	0.2558541	0.9994233	0.0528459	0.0552209	0.8692724	1.0000000
150	0.5056214	0.9280685	0.0223002	0.2578862	0.2567524	0.9994153	0.0543073	0.0552218	0.8692724	1.0000000
200	0.5199103	0.9260484	0.0249685	0.2589483	0.2574412	0.9993900	0.0566148	0.0552246	0.8692724	1.0000000
250	0.5253588	0.9252258	0.0264566	0.2595279	0.2578655	0.9993438	0.0590306	0.0552301	0.8692724	1.0000000
300	0.5274911	0.9248917	0.0272111	0.2598808	0.2581086	0.9992831	0.0610030	0.0552382	0.8692724	1.0000000
350	0.5283524	0.9247512	0.0275808	0.2600915	0.2582503	0.9992194	0.0623775	0.0552476	0.8692724	1.0000000
400	0.5287159	0.9246880	0.0277617	0.2602190	0.2583395	0.9991627	0.0632410	0.0552569	0.8692724	1.0000000
450	0.5288800	0.9246572	0.0278520	0.2603011	0.2584008	0.9991182	0.0637475	0.0552647	0.8692724	1.0000000
500	0.5289616	0.9246406	0.0278987	0.2603579	0.2584453	0.9990863	0.0640317	0.0552707	0.8692724	1.0000000
550	0.2433640	0.9793048	0.0248229	0.1266898	0.2604498	0.9990653	0.0640021	0.0552748	0.8692724	1.0000000
600	0.1396385	0.9945661	0.0197410	0.1066552	0.2598277	0.9990597	0.0624157	0.0552762	0.8692724	1.0000000
650	0.1012506	0.9985692	0.0168461	0.1030597	0.2588993	0.9990871	0.0595511	0.0552714	0.8692724	1.0000000
700	0.0866096	0.9995946	0.0155152	0.1018075	0.2582716	0.9991486	0.0568397	0.0552609	0.8692724	1.0000000
750	0.0808506	0.9998573	0.0149388	0.1011310	0.2579199	0.9992227	0.0549099	0.0552489	0.8692724	1.0000000
800	0.0785162	0.9999256	0.0146935	0.1007475	0.2577290	0.9992895	0.0537290	0.0552389	0.8692724	1.0000000
850	0.0775371	0.9999438	0.0145893	0.1005314	0.2576203	0.9993401	0.0530691	0.0552317	0.8692724	1.0000000
900	0.0771069	0.9999490	0.0145446	0.1004059	0.2575542	0.9993745	0.0527215	0.0552271	0.8692724	1.0000000
950	0.0769055	0.9999507	0.0145250	0.1003292	0.2575119	0.9993961	0.0525457	0.0552243	0.8692724	1.0000000
1000	0.0768036	0.9999513	0.0145161	0.1002803	0.2574845	0.9994090	0.0524593	0.0552227	0.8692724	1.0000000

0	0.0767226	0.9999516	0.0145101	0.1002312	0.2574553	0.9994224	0.0523897	0.0552211	0.8692724	1.0000000
50	0.2478729	0.8951648	0.3910196	0.0583630	0.0743974	0.9992411	0.1245415	0.4253849	0.8692724	1.0000000
100	0.3044277	0.8693819	0.5356165	0.0391416	0.0237984	0.9971835	0.1944957	0.5311688	0.8692724	1.0000000
150	0.3250628	0.8630371	0.5911504	0.0359870	0.0100186	0.9925750	0.1980727	0.5643514	0.8692724	1.0000000
200	0.3326021	0.8614752	0.6124836	0.0354866	0.0063726	0.9887640	0.1868828	0.5774595	0.8692724	1.0000000
250	0.3353567	0.8610906	0.6206796	0.0354072	0.0054640	0.9872983	0.1772660	0.5821128	0.8692724	1.0000000
300	0.3363631	0.8609960	0.6238285	0.0353946	0.0052640	0.9873743	0.1713764	0.5827016	0.8692724	1.0000000
350	0.3367308	0.8609727	0.6250383	0.0353926	0.0052299	0.9879709	0.1683444	0.5819305	0.8692724	1.0000000
400	0.3368651	0.8609669	0.6255032	0.0353923	0.0052260	0.9885548	0.1670250	0.5810397	0.8692724	1.0000000
450	0.3369142	0.8609655	0.6256818	0.0353923	0.0052241	0.9889652	0.1665798	0.5803939	0.8692724	1.0000000
500	0.3369322	0.8609652	0.6257504	0.0353923	0.0052209	0.9892067	0.1665126	0.5800086	0.8692724	1.0000000
550	0.1383049	0.9657614	0.2490193	0.0365231	0.1973475	0.9896233	0.1634370	0.2150651	0.8692724	1.0000000
600	0.0765070	0.9915681	0.1042645	0.0581223	0.2480976	0.9891549	0.2049001	0.1129812	0.8692724	1.0000000
650	0.0715441	0.9979211	0.0486843	0.0873216	0.2609503	0.9863087	0.2041390	0.0942415	0.8692724	1.0000000
700	0.0777943	0.9994752	0.0274478	0.1023968	0.2646344	0.9852808	0.1546976	0.0905388	0.8692724	1.0000000
750	0.0827668	0.9998400	0.0194355	0.1082156	0.2657651	0.9884401	0.1084241	0.0769165	0.8692724	1.0000000
800	0.0852244	0.9999146	0.0164610	0.1099022	0.2652421	0.9927786	0.0801556	0.0646866	0.8692724	1.0000000
850	0.0854797	0.9999253	0.0153666	0.1092515	0.2636437	0.9959490	0.0654710	0.0586968	0.8692724	1.0000000
900	0.0842462	0.9999271	0.0149523	0.1073637	0.2617862	0.9977286	0.0584010	0.0564146	0.8692724	1.0000000
950	0.0824065	0.9999306	0.0147753	0.1052253	0.2602159	0.9986151	0.0551338	0.0556262	0.8692724	1.0000000
1000	0.0806250	0.9999357	0.0146817	0.1034270	0.2590999	0.9990374	0.0536564	0.0553615	0.8692724	1.0000000

0	0.0767226	0.9999516	0.0145101	0.1002312	0.2574553	0.9994224	0.0523897	0.0552211	0.8692724	1.0000000
50	0.4198313	0.9999610	0.0144468	0.0586317	0.0774142	0.9056014	0.0523834	0.0552209	0.8692724	1.0000000
100	0.5416427	0.9999851	0.0142189	0.0392048	0.0279340	0.8826645	0.0523457	0.0552208	0.8692724	1.0000000
150	0.5861290	0.9999954	0.0140578	0.0359975	0.0146409	0.8770576	0.0522533	0.0552207	0.8692724	1.0000000
200	0.6023825	0.9999985	0.0139809	0.0354882	0.0112012	0.8756883	0.0521477	0.0552205	0.8692724	1.0000000
250	0.6083210	0.9999994	0.0139476	0.0354075	0.0103703	0.8753554	0.0520635	0.0552203	0.8692724	1.0000000
300	0.6104907	0.9999996	0.0139338	0.0353947	0.0101975	0.8752757	0.0520082	0.0552200	0.8692724	1.0000000
350	0.6112834	0.9999997	0.0139282	0.0353927	0.0101759	0.8752576	0.0519760	0.0552198	0.8692724	1.0000000
400	0.6115731	0.9999997	0.0139260	0.0353923	0.0101818	0.8752541	0.0519585	0.0552197	0.8692724	1.0000000
450	0.6116789	0.9999997	0.0139251	0.0353923	0.0101887	0.8752538	0.0519497	0.0552196	0.8692724	1.0000000
500	0.6117175	0.9999997	0.0139247	0.0353923	0.0101929	0.8752541	0.0519453	0.0552195	0.8692724	1.0000000
550	0.2395728	0.9999997	0.0139247	0.0389293	0.2410567	0.9690767	0.0519432	0.0552195	0.8692724	1.0000000
600	0.1317880	0.9999991	0.0139400	0.0876153	0.2833777	0.9920146	0.0519428	0.0552194	0.8692724	1.0000000
650	0.1168421	0.9999846	0.0141081	0.1247850	0.2797571	0.9976224	0.0519555	0.0552194	0.8692724	1.0000000
700	0.1080527	0.9999324	0.0145075	0.1253393	0.2706893	0.9989932	0.0520346	0.0552195	0.8692724	1.0000000
750	0.0974773	0.9998950	0.0148038	0.1160804	0.2643220	0.9993270	0.0522091	0.0552196	0.8692724	1.0000000
800	0.0889148	0.9998984	0.0148565	0.1086608	0.2607858	0.9994060	0.0524004	0.0552199	0.8692724	1.0000000
850	0.0833451	0.9999164	0.0147822	0.1043674	0.2590069	0.9994221	0.0525220	0.0552203	0.8692724	1.0000000
900	0.0801269	0.9999317	0.0146878	0.1021681	0.2581576	0.9994233	0.0525588	0.0552207	0.8692724	1.0000000
