YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0638269	0.1163884	0.5483382	0.9095441	0.8790765	0.0044458	0.0256926	0.4535515	0.5579079	0.1717898
0.5365429	0.1291187	0.6493939	0.8015673	0.9999964	0.0043731	0.0255045	0.4563019	0.5586791	0.1886362
0.2957121	0.4475920	0.9995994	0.0945117	0.0847025	0.8676355	0.9999848	0.0115135	0.1080706	0.7420561
0.2624158	0.0362398	0.8501212	0.5739082	0.6195691	0.2878653	0.0250094	0.4643279	0.7700333	0.0000051
0.6423674	0.0069986	0.5374758	0.6453528	0.6330464	0.1445960	0.0231260	0.5032319	0.7360567	0.0000039
0.3465409	0.5344446	0.5830109	0.6826911	0.6994297	0.1320457	0.0229163	0.5088044	0.5564357	0.1436815
0.1326470	0.2107781	0.7557269	0.6868287	0.7061481	0.0895870	0.1147564	0.2437599	0.4939468	0.2146066
0.4876644	0.4808294	0.8150038	0.0232761	0.1159443	0.5383406	0.2873917	0.1835654	0.4192376	0.2579322
0.2743945	0.0038146	0.5760669	0.8506437	0.9940625	0.0574908	0.0035602	0.5173304	0.8618631	0.0000003
0.5760160	0.3865673	0.7730769	0.6681365	0.7494128	0.2326124	0.0250335	0.4639300	0.6544512	0.0000052
