YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.5758408	0.4527467	0.7331381	0.0328289	0.4475297	0.5982057	0.6481442	0.3429225	0.3567032	0.2611971
0.5354118	0.5890743	0.7269845	0.0914658	0.5478309	0.5088348	0.7478524	0.5165958	0.2406437	0.4402027
0.4310772	0.4488449	0.6984317	0.0973401	0.6659452	0.5227907	0.4463347	0.0874064	0.5570909	0.3419502
0.6401728	0.4143826	0.6554050	0.0390916	0.7049190	0.6304274	0.7272297	0.3680300	0.2558215	0.4127683
0.7161690	0.4549573	0.7400169	0.0366914	0.5778816	0.4879776	0.7414597	0.7106891	0.1377973	0.2133559
0.4224616	0.3139999	0.7056536	0.0400195	0.5891322	0.6014506	0.5866359	0.6740615	0.3351438	0.4934943
0.6844091	0.4563239	0.5848120	0.1073092	0.6245741	0.6232125	0.8473847	0.5076035	0.2065727	0.3286028
0.7479140	0.3351428	0.6480748	0.0294342	0.6966661	0.7203108	0.6026410	0.4193692	0.1948927	0.2685723
0.4914525	0.5597462	0.8525524	0.0894675	0.7466659	0.5463905	0.7446606	0.4351983	0.2758064	0.4772321
0.7092052	0.3944506	0.6510451	0.0318766	0.7924031	0.6531684	0.6756983	0.3812750	0.1702483	0.2628931
