YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.1858368	0.5944442	0.6860792	0.8303516	0.4023252	0.9653151	0.2356827	0.9569387	0.1273166	1.0975866
0.2024212	0.3273706	0.5788667	0.8295224	0.3978897	1.0663544	0.2566016	0.8871979	0.1169316	1.0005296
0.3083096	0.9927359	0.3231943	0.8729906	0.4151768	1.1284825	0.2907406	0.9099941	0.1213396	0.9251964
0.4574515	0.9039130	0.4611366	0.4224191	0.3791686	0.9946980	0.4388345	0.8261104	0.1263551	1.0041643
0.3922346	0.5042381	0.6332883	0.8227947	0.1768190	0.9187929	0.2225692	1.0497406	0.1277522	1.0539380
0.5635796	0.5716090	0.6429873	0.8814735	0.5803238	0.4923887	0.2408921	0.9949634	0.0961789	1.0037313
0.4980696	0.5715404	0.6396656	0.9278624	0.3927512	0.9934950	0.1453244	0.9423265	0.1005020	1.0617182
0.4951907	0.6355452	0.5992580	0.8351044	0.4979984	0.7142202	0.7704851	0.4963359	0.1028391	0.9828889
0.4414552	0.4451867	0.6414822	0.8632962	0.3874458	1.0063269	0.1691466	0.9891904	0.0373110	1.0631121
0.4823905	0.6372172	0.6394082	0.9172488	0.4149957	1.0633327	0.2664417	0.9679553	0.1029594	0.4886303
