YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.2581442	0.4076283	0.0055331	0.0492799	0.9416942	0.7318408	0.7681735	0.6059092	0.9602466	1.0711914
0.6945841	0.4071852	0.2274689	0.0653284	0.9146496	0.2561371	0.2400460	0.5904739	0.9923109	1.0445923
0.0991831	0.5903295	0.0025770	0.0174293	0.8400130	0.2719984	0.2987277	0.6427226	0.9877284	0.8911922
0.0240895	0.2922817	0.0542474	0.0055376	0.9041210	0.8468524	0.8708709	0.8214856	1.0545695	1.0952937
0.0998778	0.3186204	0.0452486	0.0006994	1.0787739	0.8391410	0.8219721	0.5532319	0.9458371	1.0044130
0.2507748	0.6102727	0.2214092	0.0778870	0.9421960	0.2845023	0.3354999	0.5859777	0.9991679	1.0295173
0.2035440	0.0011695	0.0230188	0.0898819	1.0054156	0.9005826	0.9439178	0.5659794	1.0751351	0.9895350
0.1435283	0.4062640	0.0299563	0.0705622	1.0069317	0.6665863	0.8080978	0.6489589	1.0621964	0.9551811
0.1261389	0.4671931	0.3116487	0.0038668	0.7234575	0.3502012	0.3309148	0.6199535	1.0605580	0.9015706
0.3437689	0.8890633	0.2594580	0.0679574	1.0155359	0.9603605	0.9009511	0.6412214	1.0129590	0.7728451
