YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.6252748	0.1336194	0.4625445	0.3048989	0.1235442	0.5284257	0.7226063	0.3792261	0.7266170	0.5893975
0.4418974	0.0725416	0.1543223	0.4854465	0.3932162	0.6227665	0.5796634	0.4161507	0.4594862	0.6087240
0.2056111	0.2195551	0.2731288	0.4171576	0.3730894	0.5840895	0.4410124	0.3184008	0.7635572	0.8215120
0.4868839	0.0801873	0.3034235	0.3871586	0.2503764	0.7058512	0.6246145	0.2459452	0.7370814	0.7026086
0.5283822	0.0116889	0.2630240	0.3892542	0.6066019	0.3703314	0.6038694	0.4375162	0.3983805	0.4684014
0.4181381	0.3123499	0.3621693	0.3426261	0.3579638	0.8106390	0.4665634	0.1987189	0.6252808	0.6512142
0.7214002	0.1568917	0.1570339	0.5764488	0.2599276	0.6999284	0.6520694	0.4669677	0.7062537	0.5673802
0.4418587	0.1028012	0.3114724	0.2553841	0.2832030	0.6524659	0.6136511	0.1757606	0.7667768	0.5559207
0.2822489	0.3568902	0.4911599	0.2894022	0.1535287	0.6056909	0.6659916	0.3240233	0.9104653	0.5780428
0.4581067	0.1084715	0.2425913	0.3644631	0.3429094	0.6534593	0.6635164	0.4471889	0.7270554	0.9231172
