YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.1068581	0.6783160	0.9981382	0.9883344	0.8906694	0.6674509	0.0844166	0.7908851	0.7350053	0.9788286
0.0802898	0.8141484	0.9990055	0.9893830	0.9471934	0.9094694	0.0211194	0.8682493	1.0000000	1.0000000
0.1482478	0.6781832	0.9974726	0.9550665	0.5318299	1.0000000	0.2229788	0.4768430	1.0000000	1.0000000
0.1096202	0.8109772	0.9788279	0.9819446	0.7218929	1.0000000	0.1390662	0.5428748	0.5303382	0.9886964
0.1388778	0.6642974	0.9325047	0.9969004	0.9552529	1.0000000	0.0132125	1.0000000	0.8508929	1.0000000
0.1059400	0.6642772	0.9324368	0.9901073	1.0000000	0.7277195	0.0770746	0.8352360	0.4964789	0.8087436
0.1094036	0.8122019	0.9984954	0.9978545	1.0000000	0.5728705	0.0203919	1.0000000	0.9698654	0.7833924
0.0719302	0.7215664	0.9984457	0.9901422	1.0000000	1.0000000	0.0591004	1.0000000	0.6872243	1.0000000
0.1481696	0.6784151	0.9986258	0.9894989	0.9547183	0.9502608	0.0254804	1.0000000	0.6291388	0.5714663
0.1482097	0.6782913	0.9980141	0.9886091	0.9027767	0.9065914	0.0162325	1.0000000	0.9768701	1.0000000
