"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.2191393	0.5559477	0.5970271	0.9447936	0.0389094	0.0134992	0.0418779	1.0000000	1.0000000	1.0000000
50	0.2190033	0.5544013	0.6066920	0.9453362	0.0418025	0.0134994	0.0418779	1.0000000	0.7258178	1.0000000
100	0.2183864	0.5545413	0.5602642	0.9295551	0.0451428	0.0135022	0.0418779	1.0000000	0.4434163	1.0000000
150	0.2195741	0.5822549	0.4745428	0.8676141	0.0470625	0.0135071	0.0418779	1.0000000	0.2992454	1.0000000
200	0.2308811	0.6452631	0.4008510	0.7671025	0.0479761	0.0135122	0.0418779	1.0000000	0.2376869	1.0000000
250	0.2585645	0.7217615	0.3510444	0.6742745	0.0483735	0.0135161	0.0418779	1.0000000	0.2133972	1.0000000
300	0.2993433	0.7892954	0.3192295	0.6118682	0.0485370	0.0135186	0.0418779	1.0000000	0.2042080	1.0000000
350	0.3437889	0.8392789	0.2995061	0.5767334	0.0486011	0.0135200	0.0418779	1.0000000	0.2008162	1.0000000
400	0.3836409	0.8726209	0.2879004	0.5589631	0.0486246	0.0135208	0.0418779	1.0000000	0.1995832	1.0000000
450	0.4149711	0.8933848	0.2815024	0.5505872	0.0486319	0.0135211	0.0418779	1.0000000	0.1991393	1.0000000
500	0.4374309	0.9056578	0.2781927	0.5468306	0.0486333	0.0135213	0.0418779	1.0000000	0.1989805	1.0000000
550	0.4525172	0.9141708	0.2650220	0.5638755	0.0457395	0.0135206	0.0418779	1.0000000	0.4731061	1.0000000
600	0.4625932	0.9165580	0.3320263	0.6933074	0.0423981	0.0135164	0.0418779	1.0000000	0.7554876	1.0000000
650	0.4665041	0.8828187	0.4380084	0.8141382	0.0404775	0.0135106	0.0418779	1.0000000	0.8996513	1.0000000
700	0.4557761	0.8071038	0.5164222	0.8843141	0.0395632	0.0135058	0.0418779	1.0000000	0.9612073	1.0000000
750	0.4248127	0.7217850	0.5599742	0.9185195	0.0391659	0.0135026	0.0418779	1.0000000	0.9854961	1.0000000
800	0.3796760	0.6536135	0.5809944	0.9338179	0.0390030	0.0135008	0.0418779	1.0000000	0.9946850	1.0000000
850	0.3326068	0.6088550	0.5903633	0.9403300	0.0389398	0.0134998	0.0418779	1.0000000	0.9980767	1.0000000
900	0.2929104	0.5828750	0.5943352	0.9430154	0.0389171	0.0134993	0.0418779	1.0000000	0.9993096	1.0000000
950	0.2639389	0.5690070	0.5959627	0.9440981	0.0389098	0.0134991	0.0418779	1.0000000	0.9997535	1.0000000
1000	0.2448631	0.5620406	0.5966135	0.9445268	0.0389081	0.0134990	0.0418779	1.0000000	0.9999123	1.0000000

0	0.2191393	0.5559477	0.5970271	0.9447936	0.0389094	0.0134992	0.0418779	1.0000000	1.0000000	1.0000000
