YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0010021	1.0334604	0.3182594	0.4386739	0.0546827	0.4303057	0.2792675	0.7882841	0.9173860	0.9999421
0.9736085	0.0000000	0.2861048	0.4664570	0.4034407	0.5034620	0.2520634	0.5396842	0.9609613	1.0784614
0.9893409	0.0355732	0.0000000	0.4672922	0.3969013	0.4247141	0.3049565	0.5205190	0.9717634	1.0501064
0.1988537	1.0157357	0.9457356	0.0000000	0.0798410	0.3508679	0.2965136	0.6513019	1.0424795	1.0070400
0.2426220	0.9671398	0.2207252	0.4418355	0.0000000	0.3588016	0.2654864	0.5789555	0.8751025	0.9461218
0.1871945	0.9972243	0.9527848	0.0561434	0.0421493	0.0000000	0.2460301	0.5753835	0.9014112	1.0501434
0.2533225	1.1244276	0.1174160	0.7349762	0.4432758	1.0216571	0.0000000	0.8762890	0.9000078	1.0267283
0.2135643	0.9947101	0.3830997	0.2911178	0.0686551	0.2575943	1.0787981	0.0000000	0.9463915	0.9264373
0.1988320	0.9988854	0.2595920	0.4412654	0.0819930	0.3805523	0.2912222	0.9916193	0.0000000	1.0383187
0.1967030	1.0722738	0.1970336	0.4942909	0.0532793	0.4060185	0.2220715	0.9888236	0.0560998	0.0000000
