YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.4997532	1.0000000	1.0000000	0.2262841	0.0641514	0.9998965	0.7191974	0.5221244	0.5007974	0.6793734
0.9740745	0.5002905	1.0000000	0.2262841	0.0641514	0.9998965	0.7191974	0.5221244	0.5007974	0.6793734
0.9992402	1.0000000	0.5000001	0.2021262	0.1404633	0.9994454	0.6221885	0.6055485	0.3493795	0.8009227
0.9992402	1.0000000	1.0000000	0.1379939	0.0320068	0.9999797	0.8087745	0.4421711	0.7101572	0.5519617
0.9992402	1.0000000	1.0000000	0.2262841	0.0320941	0.9998965	0.7191971	0.5221245	0.5007974	0.6793734
0.9992402	1.0000000	1.0000000	0.2262841	0.0641514	0.5001317	0.7191971	0.5221245	0.5007974	0.6793734
0.9992402	1.0000000	1.0000000	0.2262841	0.0641514	0.9998965	0.3597238	0.5221245	0.5007974	0.6793734
0.9992402	1.0000000	1.0000000	0.2262841	0.0641514	0.9998965	0.9547973	0.2611289	0.5007974	0.6793734
0.9992402	1.0000000	1.0000000	0.2262841	0.2776330	0.9973850	0.5400925	0.6790693	0.2503987	0.6793734
0.9992402	1.0000000	1.0000000	0.4681472	0.0204116	0.9999946	0.8691768	0.3809145	0.9444722	0.3627717
